Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3
21309,KANAKANAK HOSPITAL,P O BOX 130,DILLINGHAM,AK,99576,DILLINGHAM,9078425201,Critical Access Hospitals,Voluntary non-profit - Private,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"P O BOX 130 DILLINGHAM, AK",https://www.bbahc.org/index.asp?SEC=A9EFF8A7-3AB6-447D-B146-190EB4B01B37&Type=B_BASIC,https://www.bbahc.org/,https://www.bbahc.org/vacancies
21310,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARTIC BOROUGH,9074423321,Critical Access Hospitals,Tribal,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"PO BOX 43 KOTZEBUE, AK",https://www.maniilaq.org/,https://www.facebook.com/pages/Maniilaq-Health-Center/117416138328639,https://www.healthgrades.com/hospital-directory/alaska-ak/maniilaq-health-center-hgstd45c1abd021310
30071,FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,APACHE,9287298000,Acute Care Hospitals,Government - Federal,True,True,1,This hospital's star rating only includes data reported on inpatient services.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Below the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"PO BOX 649 FORT DEFIANCE, AZ",http://www.fdihb.org/,http://www.fdihb.org/tsehootsooi,https://fortdefianceindianhospital.appone.com/
30073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,COCONINO,9282832501,Acute Care Hospitals,Voluntary non-profit - Other,False,True,2,This hospital's star rating only includes data reported on inpatient services.,Not Available,Results are not available for this reporting period.,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"PO BOX 600 TUBA CITY, AZ",http://tchealth.org/home.html,http://tchealth.org/,http://tchealth.org/contact.html
30074,SELLS HOSPITAL,"HIGHWAY 86, AT TOPAWA ROAD",SELLS,AZ,85634,PIMA,5203627003,Acute Care Hospitals,Tribal,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"HIGHWAY 86, AT TOPAWA ROAD SELLS, AZ",https://www.ihs.gov/Tucson/healthcarefacilities/sellshospital/,http://www.tonhc.org/facilities/sells-hospital/,http://www.tonhc.org/
30077,SAN CARLOS APACHE HEALTHCARE,103 MEDICINE WAY ROAD,PERIDOT,AZ,85542,GILA,9284751200,Acute Care Hospitals,Government - Federal,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"103 MEDICINE WAY ROAD PERIDOT, AZ",https://www.scahealth.org/,https://www.scahealth.org/careers/job-opportunities/,https://www.scahealth.org/contact/contact-us/
30084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,APACHE,9286747001,Acute Care Hospitals,Government - Federal,True,True,3,This hospital's star rating only includes data reported on inpatient services.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"US HWY 191, HOSPITAL ROAD CHINLE, AZ",https://www.ihs.gov/navajo/healthcarefacilities/chinle/,https://www.va.gov/directory/guide/facility.asp?id=6216,https://www.ahd.com/free_profile/030084/Chinle_Comprehensive_Health_Care_Facility/Chinle/Arizona/
31305,HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,NAVAJO,9287376000,Critical Access Hospitals,Tribal,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"HIGHWAY 264, MILEPOST 388 POLACCA, AZ",https://www.ihs.gov/Phoenix/healthcarefacilities/hopi/,https://crh.arizona.edu/programs/flex/cahs-list/hopi,https://www.healthgrades.com/hospital-directory/arizona-az/indian-health-service-hopi-health-care-center-hgst9d4dc822031305
31308,HUHU KAM MEMORIAL HOSPITAL,483 WEST SEED FARM ROAD,SACATON,AZ,85147,PINAL,5205623321,Critical Access Hospitals,Government - Federal,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"483 WEST SEED FARM ROAD SACATON, AZ",http://grhc.org/our-campus/hu-hu-kam-memorial-hospital/,http://grhc.org/hu-hu-kam/,https://crh.arizona.edu/programs/flex/cahs-list/hu-hu-kam
31309,SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191,GANADO,AZ,86505,APACHE,9287554541,Critical Access Hospitals,Voluntary non-profit - Private,False,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,"STATE ROUTE 264 SOUTH 191 GANADO, AZ",http://sagememorial.com/,https://crh.arizona.edu/programs/flex/cahs-list/sage,https://www.facebook.com/sagememorialhospital/
40007,CHI-ST VINCENT INFIRMARY,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,PULASKI,5015523000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"TWO ST VINCENT CIRCLE LITTLE ROCK, AR",https://www.chistvincent.com/hospitals-locations/chi-st-vincent-infirmary,https://www.chistvincent.com/hospitals-locations/hospitals,https://www.chistvincent.com/
40018,SPARKS MEDICAL CENTER - VAN BUREN,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,CRAWFORD,4794743401,Acute Care Hospitals,Proprietary,True,True,3,,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"EAST MAIN AND SOUTH 20TH STREET VAN BUREN, AR",https://health.usnews.com/best-hospitals/area/ar/summit-medical-center-6710618/contact,https://www.baptisthealthfortsmithvanburen.com/,https://www.mapquest.com/us/arkansas/sparks-med-center-van-buren-373541241
40050,OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,OUACHITA,8708361000,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Above the national average,,Not Available,Results are not available for this reporting period.,"638 CALIFORNIA AVENUE CAMDEN, AR",https://www.ouachitamedcenter.com/,https://www.ahd.com/free_profile/040050/Ouachita_County_Medical_Center/Camden/Arkansas/,https://www.healthgrades.com/hospital-directory/arkansas-ar/ouachita-county-medical-center-hgst375b7b36040050
40154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,1555 EXCHANGE AVENUE,CONWAY,AR,72032,FAULKNER,5015852000,Acute Care Hospitals,Voluntary non-profit - Private,True,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1555 EXCHANGE AVENUE CONWAY, AR",https://www.baptist-health.com/location/baptist-health-medical-centerconway-conway,https://www.baptist-health.com/page/baptist-health-medical-centerconway-other-services,https://www.baptist-health.com/location/baptist-health-family-clinicconway-west-conway-west
41328,CHICOT MEMORIAL MEDICAL CENTER,2729 SOUTH HIGHWAY 65 & 82,LAKE VILLAGE,AR,71653,CHICOT,8702655351,Critical Access Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Below the national average,,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,"2729 SOUTH HIGHWAY 65 &amp; 82 LAKE VILLAGE, AR",http://www.chicotmemorial.com/,http://www.chicotmemorial.com/ContactUs,http://www.chicotmemorial.com/AboutUs/HumanResources
50054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,RIVERSIDE,9518451121,Acute Care Hospitals,Government - Hospital District or Authority,True,True,2,,Same as the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"600 NORTH HIGHLAND SPRINGS AVENUE BANNING, CA",https://sgmh.org/,https://sgmh.org/careers/,https://sgmh.org/contact/
50103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,3232685000,Acute Care Hospitals,Voluntary non-profit - Church,False,True,3,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"1720 E CESAR AVENUE LOS ANGELES, CA",https://www.adventisthealth.org/white-memorial/,https://www.yelp.com/biz/adventist-health-white-memorial-los-angeles,https://doctor.webmd.com/hospital/white-memorial-medical-center-los-angeles-ca-e0685896-f6d0-4712-9601-81a40860376b-overview
50138,KAISER FOUNDATION HOSPITAL - LOS ANGELES,4867 SUNSET BLVD,LOS ANGELES,CA,90027,LOS ANGELES,3237834011,Acute Care Hospitals,Voluntary non-profit - Other,False,True,3,This hospital's star rating only includes data reported on inpatient services.,Not Available,Results are not available for this reporting period.,Above the national average,,Same as the national average,,Below the national average,,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"4867 SUNSET BLVD LOS ANGELES, CA",https://thrive.kaiserpermanente.org/care-near-you/southern-california/los-angeles/locations/los-angeles-medical-center/,https://healthy.kaiserpermanente.org/southern-california/facilities/Los-Angeles-Medical-Center-100099,https://thrive.kaiserpermanente.org/care-near-you/southern-california/los-angeles/locations/
50145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,MONTEREY,8316245311,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,,Same as the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"23625 W R HOLMAN HIGHWAY MONTEREY, CA",https://www.chomp.org/,https://www.chomp.org/locations/,https://www.chomp.org/contact/
50224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,ORANGE,9497644624,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Above the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,"ONE HOAG DRIVE NEWPORT BEACH, CA",https://www.hoag.org/locations/hoag-hospital-newport-beach/,https://www.hoag.org/,https://www.hoag.org/contact-us/
50280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,SHASTA,5302256102,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Below the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"2175 ROSALINE AVE, CLAIRMONT HGTS REDDING, CA",https://www.dignityhealth.org/north-state/locations/mercy-redding,https://www.dignityhealth.org/north-state/locations/mercy-redding/patients-and-visitors/phone-directory,https://www.yelp.com/biz/mercy-medical-center-redding-redding
50309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,PLACER,9167811000,Acute Care Hospitals,Voluntary non-profit - Other,True,True,4,,Same as the national average,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"ONE MEDICAL PLAZA ROSEVILLE, CA",https://www.sutterhealth.org/srmc,https://www.sutterhealth.org/find-location/facility/sutter-roseville-medical-center,https://www.sutterhealth.org/find-location/facility/sutter-roseville-medical-center-emergency-department
50488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,ALAMEDA,5105371234,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"20103 LAKE CHABOT ROAD CASTRO VALLEY, CA",https://www.sutterhealth.org/eden,https://www.sutterhealth.org/find-location/facility/eden-medical-center,https://www.yelp.com/biz/eden-medical-center-castro-valley-2
50547,SONOMA DEVELOPMENTAL CENTER,15000 ARNOLD DRIVE   /  P O BOX 1493,ELDRIDGE,CA,95431,SONOMA,7079386000,Acute Care Hospitals,Government - State,False,,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"15000 ARNOLD DRIVE / P O BOX 1493 ELDRIDGE, CA",https://www.dds.ca.gov/Sonoma/,https://www.dds.ca.gov/Sonoma/History.cfm,https://www.facebook.com/Sonoma-Developmental-Center-Eldridge-742126489233255/
50567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,ORANGE,9493641400,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"27700 MEDICAL CENTER RD MISSION VIEJO, CA",https://www.mission4health.com/,https://www.mission4health.com/contact-us/,https://www.mission4health.com/contact-us/locations-directions/mission-hospital-mission-viejo/
50684,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,SUN CITY,CA,92585,RIVERSIDE,9516798888,Acute Care Hospitals,Physician,False,True,1,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Not Available,Results are not available for this reporting period.,"28400 MCCALL B0ULEVARD SUN CITY, CA",http://www.menifeevalleymedicalcenter.com/,http://www.menifeevalleymedicalcenter.com/pages/contact-us,https://www.yelp.com/biz/menifee-valley-medical-center-menifee
50717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,LOS ANGELES,5624017022,Acute Care Hospitals,Government - Local,False,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Same as the national average,,Not Available,Results are not available for this reporting period.,Same as the national average,,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"7601 EAST IMPERIAL HIGHWAY DOWNEY, CA",http://dhs.lacounty.gov/wps/portal/dhs/rancho,https://www.yelp.com/biz/rancho-los-amigos-national-rehabilitation-center-downey-4,https://en.wikipedia.org/wiki/Rancho_Los_Amigos_National_Rehabilitation_Center
