Provider ID,Hospital Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location,url1,url2,url3,Missing
200018.0,AROOSTOOK MEDICAL CENTER,PO BOX 151,PRESQUE ISLE,ME,4769.0,AROOSTOOK,2077684000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"PO BOX 151 PRESQUE ISLE, ME",http://emhs.org/Locations/The-Aroostook-Medical-Center.aspx,https://www.manta.com/c/mtkzhdq/aroostook-medical-center,https://www.comparemaine.org/?page=profile&provider=11&search-insurance=XXXXX&procedure=78306,True
210011.0,SAINT AGNES HOSPITAL,900 CATON AVENUE,BALTIMORE,MD,21229.0,BALTIMORE CITY,4103682101.0,Acute Care Hospitals,Voluntary non-profit - Church,True,True,1,,Same as the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"900 CATON AVENUE BALTIMORE, MD",https://www.stagnes.org/,https://www.stagnes.org/contact-us/,https://www.stagnes.org/about-us/overview/,True
220108.0,BETH ISRAEL DEACONESS HOSPITAL-MILTON INC,199 REEDSDALE ROAD,MILTON,MA,2186.0,NORFOLK,6176964600.0,Acute Care Hospitals,Government - Federal,True,True,3,,Above the national average,,Below the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"199 REEDSDALE ROAD MILTON, MA (42.252352, -71.075213)",http://www.miltonhospital.org/,http://www.miltonhospital.org/contact-us,https://www.bidmc.org/locations/beth-israel-deaconess-hospital-milton,True
220111.0,GOOD SAMARITAN MEDICAL CENTER BROCKTON MA,235 NORTH PEARL STREET,BROCKTON,MA,2301.0,PLYMOUTH,5084273000.0,Acute Care Hospitals,Proprietary,True,True,2,,Above the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"235 NORTH PEARL STREET BROCKTON, MA (42.09707, -71.065645)",https://www.goodsamaritanmedical.org/,https://www.goodsamaritanmedical.org/contact-us,https://www.goodsamaritanmedical.org/about-us/careers,True
220171.0,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",41 & 45 MALL ROAD,BURLINGTON,MA,1803.0,MIDDLESEX,7817445100.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Same as the national average,,"41 &amp; 45 MALL ROAD BURLINGTON, MA",https://www.lahey.org/,https://www.lahey.org/Contact/,https://www.lahey.org/Rehab-Locations/,True
230132.0,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503.0,GENESEE,8102579000.0,Acute Care Hospitals,Voluntary non-profit - Other,True,True,1,,Same as the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,"ONE HURLEY PLAZA FLINT, MI",http://www.hurleymc.com/,http://www.hurleymc.com/locations/,http://www.hurleymc.com/careers/contact-us/,True
230197.0,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439.0,GENESEE,8106065000.0,Acute Care Hospitals,Voluntary non-profit - Church,True,True,2,,Above the national average,,Below the national average,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Above the national average,,"ONE GENESYS PARKWAY GRAND BLANC, MI",https://healthcare.ascension.org/Locations/Michigan/MIGRA/Grand-Blanc-Ascension-Genesys-Hospital,https://healthcare.ascension.org/Locations/Michigan/MIGRA/Grand-Blanc-Ascension-Genesys-Hospital/Visitor-Information,https://www.healthcare4ppl.com/hospital/michigan/grand-blanc/genesys-regional-medical-center-health-park-230197.html,True
250057.0,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN,MS,39601.0,LINCOLN,6018336011.0,Acute Care Hospitals,Voluntary non-profit - Other,True,True,3,,Same as the national average,,Below the national average,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,"P O BOX 948/427 HIGHWAY 51 NORTH BROOKHAVEN, MS",https://kdmc.org/,https://kdmc.org/about-kdmc/departments/,https://kdmc.org/careers/,True
250127.0,CHOCTAW HEALTH CENTER,ROUTE 7 BOX R50,PHILADELPHIA,MS,39350.0,NESHOBA,6016562211.0,Acute Care Hospitals,Government - Federal,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"ROUTE 7 BOX R50 PHILADELPHIA, MS",http://www.choctawhealthcenter.org/,http://www.choctawhealthcenter.org/CHC_Contact.html,http://www.choctaw.org/government/tribalServices/health/,True
260020.0,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141.0,ST. LOUIS,3145696000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,5,,Above the national average,,Above the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"615 NEW BALLAS ROAD SAINT LOUIS, MO",https://www.mercy.net/practice/mercy-hospital-st-louis/,https://www.mercy.net/practice/mercy-emergency-department-mercy-hospital-st-louis/,https://www.mapquest.com/us/missouri/mercy-hospital-st-louis-350316774,True
260032.0,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110.0,ST. LOUIS CITY,3147473000.0,Acute Care Hospitals,Voluntary non-profit - Other,True,True,2,,Above the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Below the national average,,Above the national average,,"ONE BARNES-JEWISH HOSPITAL PLAZA SAINT LOUIS, MO",https://www.barnesjewish.org/,https://wuphysicians.wustl.edu/locations/barnes-jewish-hospital,https://doctor.webmd.com/hospital/barnes-jewish-hospital-saint-louis-mo-7d6d2aa2-9476-4c02-877e-e79e5e242631-directions,True
260108.0,MISSOURI BAPTIST MEDICAL CENTER,3015 N BALLAS RD,TOWN AND COUNTRY,MO,63131.0,ST. LOUIS,3149965000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,"3015 N BALLAS RD TOWN AND COUNTRY, MO",https://www.missouribaptist.org/,https://www.missouribaptist.org/Patient-Visitor-Information/Maps-Directions,https://www.missouribaptist.org/Patient-Visitor-Information/Contact-us,True
260183.0,SAINT FRANCIS MEDICAL CENTER CAPE GIRARDEAU MO,211 ST FRANCIS DR,CAPE GIRARDEAU,MO,63703.0,CAPE GIRARDEAU,5733313000.0,Acute Care Hospitals,Voluntary non-profit - Church,True,True,3,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Below the national average,,"211 ST FRANCIS DR CAPE GIRARDEAU, MO",https://www.sfmc.net/,https://www.facebook.com/SaintFrancisMC/,https://www.healthgrades.com/hospital-directory/missouri-mo/saint-francis-medical-center-hgst69f72386260183,True
263301.0,ST LOUIS CHILDRENS HOSPITAL,ONE CHILDRENS PLACE,SAINT LOUIS,MO,63110.0,ST. LOUIS CITY,3144546000.0,Childrens,Voluntary non-profit - Other,True,True,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,Not Available,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs.,"ONE CHILDRENS PLACE SAINT LOUIS, MO",https://www.stlouischildrens.org/,https://www.stlouischildrens.org/contact-us,https://www.stlouischildrens.org/form/about-us/contact-us,True
270003.0,ST PETERS HOSPITAL,2475 BROADWAY,HELENA,MT,59601.0,LEWIS AND CLARK,4064422480.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"2475 BROADWAY HELENA, MT",https://www.sphealth.org/,https://www.yelp.com/biz/st-peters-hospital-helena-3,https://www.facebook.com/stpetershelena/,True
280009.0,CHI HEALTH GOOD SAMARITAN,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY,NE,68848.0,BUFFALO,3088657100.0,Acute Care Hospitals,Voluntary non-profit - Church,True,True,4,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,Above the national average,,Same as the national average,,"P O BOX 1990, 10 EAST 31ST ST KEARNEY, NE",https://www.chihealth.com/good-samaritan.html,https://www.chihealth.com/good-samaritan/good-sam-location-details.location.aa2f32c9-5e9a-4a7b-b614-91f85e4bf64d.html,https://www.chihealth.com/good-samaritan/about-us.html,True
290045.0,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,NV,89052.0,CLARK,7026165000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,1,,Below the national average,,Below the national average,,Above the national average,,Below the national average,,Same as the national average,,Below the national average,,Above the national average,,"3001 ST ROSE PARKWAY HENDERSON, NV",https://locations.dignityhealth.org/dignity-health-st-rose-dominican-siena-campus-henderson-nv,https://www.dignityhealth.org/las-vegas/locations/siena,https://www.dignityhealth.org/las-vegas/locations/siena/phone-directory,True
290057.0,HENDERSON HOSPITAL,1050 WEST GALLERIA DRIVE,HENDERSON,NV,89011.0,CLARK,3182904395.0,Acute Care Hospitals,Proprietary,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"1050 WEST GALLERIA DRIVE HENDERSON, NV",https://www.hendersonhospital.com/,https://www.valleyhealthsystemlv.com/henderson-hospital,https://www.yelp.com/biz/henderson-hospital-henderson-2,True
310011.0,CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,8210.0,CAPE MAY,6094632000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Below the national average,,Above the national average,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,"TWO STONE HARBOR BLVD CAPE MAY COURT HOUSE, NJ",https://www.caperegional.com/,https://www.caperegional.com/patients-visitors/visitor-information,https://www.caperegional.com/contact-us,True
330058.0,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456.0,ONTARIO,3157874175.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,2,,Same as the national average,,Same as the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"196 -198 NORTH STREET GENEVA, NY",https://www.flhealth.org/services/inpatient-care/geneva-general-hospital/,https://www.flhealth.org/locations/geneva-general-hospital,https://www.flhealth.org/,True
330085.0,AURELIA OSBORN FOX MEMORIAL HOSPITAL,ONE NORTON AVENUE,ONEONTA,NY,13820.0,OTSEGO,6074322000.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,3,,Same as the national average,,Above the national average,,Below the national average,,Same as the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"ONE NORTON AVENUE ONEONTA, NY",https://www.bassett.org/medical/locations/hospitals/ao-fox-hospital,https://health.usnews.com/best-hospitals/area/ny/aurelia-osborn-fox-memorial-hospital-6213830/contact,https://www.healthcare4ppl.com/hospital/new-york/oneonta/aurelia-osborn-fox-memorial-hospital-330085.html,True
330393.0,UNIVERSITY HOSPITAL AT STONY BROOK,HEALTH SCIENCES CENTER SUNY,STONY BROOK,NY,11794.0,SUFFOLK,6314444000.0,Acute Care Hospitals,Government - State,True,True,2,,Above the national average,,Below the national average,,Below the national average,,Below the national average,,Same as the national average,,Below the national average,,Same as the national average,,"HEALTH SCIENCES CENTER SUNY STONY BROOK, NY",https://www.stonybrookmedicine.edu/,https://www.stonybrookmedicine.edu/sbuh,https://www.stonybrookmedicine.edu/contact,True
340156.0,CHEROKEE INDIAN HOSPITAL AUTHORITY,CALLER BOX C268,CHEROKEE,NC,28719.0,SWAIN,7044979163.0,Acute Care Hospitals,Government - Federal,True,True,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,Not Available,Results are not available for this reporting period.,Not Available,Results are not available for this reporting period.,Not Available,There are too few measures or measure groups reported to calculate a star rating or measure group score.,"CALLER BOX C268 CHEROKEE, NC",http://cherokeehospital.org/,http://cherokeehospital.org/page?title=About-Us,https://www.facebook.com/CherokeeIndianHospital/,True
350019.0,ALTRU HOSPITAL,1200 S COLUMBIA RD,GRAND FORKS,ND,58201.0,GRAND FORKS,7017805000.0,Acute Care Hospitals,Government - Local,True,True,3,,Below the national average,,Below the national average,,Above the national average,,Above the national average,,Same as the national average,,Same as the national average,,Same as the national average,,"1200 S COLUMBIA RD GRAND FORKS, ND",https://www.altru.org/find-a-location/location-profile/altru-hospital/,https://www.altru.org/,https://www.altru.org/find-a-location/,True
360051.0,MIAMI VALLEY HOSPITAL,ONE WYOMING STREET,DAYTON,OH,45409.0,MONTGOMERY,9372083023.0,Acute Care Hospitals,Voluntary non-profit - Private,True,True,4,,Above the national average,,Below the national average,,Above the national average,,Same as the national average,,Above the national average,,Same as the national average,,Same as the national average,,"ONE WYOMING STREET DAYTON, OH",https://www.miamivalleyhospital.org/,https://www.miamivalleyhospital.org/Contact-Us/,https://www.miamivalleyhospital.org/Emergency-and-Trauma/,True
