 Item Description,Charge Amount
ACTIFUSE ABX PUTTY 10ML    buyer,4243.75
ACTIFUSE ABX PUTTY 2.5ML,1455
ACTIFUSE ABX PUTTY 20ML,7214.38
ACTIFUSE ABX PUTTY 5ML,2485.63
ACTIFUSE MIS KIT 7.5ML     buyer,5516.88
ACTIFUSE MIS REFILL CARTRIDGE 7.5ML  buyer,3576.88
ACTIFUSE SHAPE 15 X 15MM 2.6ML,1818.75
ACTIFUSE SHAPE 15 X 45MM 8ML,3758.75
ACTIFUSE SHAPE 15 X 9MM 1.6ML SMALL,970
ACTIFUSE SHAPE L 90 X 25 X 7MM 15.8ML,7202.25
ACTIVA IPG DBS,54500
ACTIVA PC DBS NEURO STIMULATOR,43940
ACTIVA SC DBS NEURO STIMULATOR COMP W/37085 EXT,22722.5
ACTIVA SC DBS NEURO STIMULATOR COMP W/7482 EXT,22722.5
ACUTRAK FUSION 32.0MM,615
ACUTRAK-2 MINI SCREW CADDY,1112.5
ADAPTER CAMERA ARM STERILE,4275
ADAPTER DUAL QUAD,137.5
ADAPTOR FOR LASER FILTER,225
ADAPTOR POCKET 1X4,1237.5
ADVANCE KIT MALE SLING SYSTEM,15867.38
ADVINCULA UTERINE DELINEATOR 2.5 CM ULTEM CUP,391.5
ADVINCULA UTERINE DELINEATOR 3.0 CM ULTEM CUP,391.5
ADVINCULA UTERINE DELINEATOR 3.5 CM ULTEM CUP,391.5
ADVINCULA UTERINE DELINEATOR 4.0 CM ULTEM CUP,391.5
AIRWAY EXCHANGE CATHETER 14,233.24
AIRWAY EXCHANGE DBL LUMEN EXTRA FIRM SOFT TIPPED  C-CAE-11.0-100-DLT-EF-ST,236.21
AIRWAY EXCHANGE DBLE LUMEN EXTRA FIRM SOFT TIP  C-CAE-14.0-100-DLT-EF-ST,260.33
ALEXIS LAP SYSTEM W/CAP MED 5-9CM,900
ALEXIS LAP SYSTEM W/CAP SML 2.5-6CM,900
ALLIGATOR GRASPING FORCEPS,382.5
ALLOCRAFT CC BONE 5MM LORDOSED,4003.05
ALLOCRAFT CC BONE 6MM LORDOSED,4003.05
ALLOCRAFT CC BONE 7MM LORDOSED,5317.83
ALLOCRAFT DBM BONE 2CC,857.8
ALLODERM  (RTU) 16CM X 20CM  PERFORATED- THICK 2.4 +/- 0.4MM,22192.5
ALLODERM  1 X 4 CM THICK IMPLANT,602.5
ALLODERM  4 X 12 CM THICK IMPLANT,3150
ALLODERM  4 X 12 CM THIN IMPLANT,3150
ALLODERM  4 X 16 CM THICK IMPLANT,4200
ALLODERM  4 X 7 CM THIN IMPLANT,1842.5
ALLODERM  6 X 16 CM X-THICK IMPLANT,6657.5
ALLODERM  8 X 12 CM THICK IMPLANT,6657.5
ALLODERM  8 X 16 CM X-THICK IMPLANT,8877.5
ALLODERM 12 X 12CM X-THICK IMPLANT,9987.5
ALLODERM 16 X 20 CM X-THICK IMPLANT,22192.5
ALLODERM 16 X 20 Perforated,22192.5
ALLODERM 2 X 4 CM,1047.5
ALLODERM 2 X 4 CM THIN IMPLANT,1047.5
ALLODERM 2X4CM THICK 1.04-2.28,1047.5
ALLODERM 3 X 7CM MEDIUM IMPLANT,1780
ALLODERM 6 X 12 CM THICK IMPLANT,4725
ALLODERM 6 X 12 CM X-THICK IMPLANT,4725
ALLODERM 6 X 16 CM THICK IMPLANT,6657.5
ALLODERM 8 X 12 CM X-THICK IMPLANT,6657.5
ALLODERM 8 X 16 CM THICK IMPLANT,8877.5
ALLODERM 8 X 20 CM THICK IMPLANT (1.04-2.28MM),11095
ALLODERM 8 X 20 CM X-THICK IMPLANT (2.31-3.30MM),11095
ALLODERM CONTOUR  X-LARGE  PERFORATED (164CM SQ CM),12095
ALLODERM CONTOUR LARGE  PERFORATED (164CM SQ CM),11372.5
ALLODERM CONTOUR LARGE 10.7 X 21.5CM PERFORATED (230 SQ CM),11372.5
ALLODERM CONTOUR LGE THICK 10.7 X 21.5CM REGEN (230 SQ CM),11372.5
ALLODERM CONTOUR MED THICK 9.6 X 19.3CM REGEN (185 SQCM),9155
ALLODERM CONTOUR MEDIUM 9.6 X 18CM PERFORATED,9155
ALLODERM CONTOUR MEDIUM 9.6 X 19.3CM PERFORATED (185 SQ CM),9155
ALLODERM CONTOUR PERFORATED RTU MED  THICK,9155
ALLODERM CONTOUR SELECT DUO PERFORATED  MED SZ 2 CONTOUR BILATERAL PR.,18310
ALLODERM RECTANGULAR 4X12CM,3150
ALLODERM REGEN MATRIX RTU 16 X 20CM THICK,22192.5
ALLODERM REGEN MATRIX RTU 4 X 12 CM THICK,3150
ALLODERM REGEN MATRIX RTU 4 X 16 CM THICK,4200
ALLODERM REGEN MATRIX RTU 6 X 16 CM THICK,6657.5
ALLODERM REGEN MATRIX RTU 8 X 12 CM THICK,6657.5
ALLODERM REGEN MATRIX RTU 8 X 16 CM  X-THICK,8877.5
ALLODERM REGEN MATRIX RTU 8 X 16 CM THICK,8877.5
ALLODERM REGEN MATRIX RTU 8 X 20 CM THICK,11095
ALLODERM RTU CONTOUR PERFORATED SELECT DUO THINK LG 2 PC SET,22745
ALLODERM SELECT DUO RTM BILATERAL PAIR,18310
ALLODERM SELECT RTM CONTOUR PERFORATED LARGE,11372.5
ALLOFUSE DBM 10CC,3052.5
ALLOFUSE DBM 5CC,1915
ALLOGRAFT 5X11X14 7 PUROSS,3857.5
ALLOGRAFT 6X11X14 7 PUROSS,3858.95
ALLOGRAFT 7X11X14  PUROSS,3858.75
ALLOGRAFT DISTAL FEMUR LATERAL RIGHT OSTEOCHONDAL,29375
ALLOGRAFT EXTENSURE H2  8 X 30MM,6250
ALLOGRAFT EXTENSURE H2 10 X 30MM,6250
ALLOGRAFT EXTENSURE H2 12 X 30MM,6250
ALLOGRAFT NANOFACTOR FLOW 1ML,5837.5
ALLOGRAFT PUROS S2 5 X 11 X 14,3858.75
ALLOGRAFT PUROS S2 5MM 11 X 11,3858.75
ALLOGRAFT PUROS S2 6MM 11 X 14,3858.75
ALLOGRAFT TENDON ACHILLES W CALCANEUS 19.5CM,5263.2
ALLOGRAFT TENDON BTB WHOLE W 8CM QUADTRICEP,12829.05
ALLOGRAFT WEDGE COTTON 5MM,2228.7
ALLOGRAFT WEDGE COTTON 6MM,2228.7
ALLOGRAFT WEDGE COTTON 7MM,2228.7
ALLOGRAFT WEDGE COTTON 8MM,2228.7
ALLOGRAFT WEDGE EVANS 10MM,2697.9
ALLOGRAFT WEDGE EVANS 12MM,2697.9
ALLOGRAFT WEDGE EVANS 6MM,2697.9
ALLOGRAFT WEDGE EVANS 8MM,2697.9
AMBICOR REAR TIP EXTENDER PACKAGE 2.0CM,903.13
AMBIENT HIPVAC 50 IFS COBLATION WAND,2137.5
AMNIOTIC GRAFT NEOX 100,3552.5
AMPLATZER SEPTAL OCCLUDER 12MM,33484.5
AMPLATZER VASCULAR PLUG 10MM,1942.5
AMS 700 DILATOR 9-16MM DISPOSABLE,284.01
ANASTOCLIP CLIP REMOVER,528
ANASTOCLIP CLOSURE  XTRA-LARGE 8CM,1953
ANASTOCLIP CLOSURE LARGE 15CM,4045.5
ANASTOCLIP CLOSURE LARGE 8CM,1953
ANASTOCLIP CLOSURE XTRA-LARGE 15CM,4045.5
ANASTOCLIP UNIVERSAL CLIP REMOVAR,528
ANASTOCLIP VCS LARGE,847.5
ANASTOCLIP VCS MEDIUM,847.5
ANATOEMIC 17MM,1737.5
ANATOEMIC 20MM,1737.5
ANATOMICAL MODEL MANDIBLE ORBIT CLEAR,14662.4
ANCHOR 3.0 BIOCOMPOSITE SUTURE TAK  (BUYER NOTE),762.5
ANCHOR 3.9 KNOTLESS SUTURE TAK,1732.5
ANCHOR BIO-SUTURE TAK 2.4 X 6.5MM,562.5
ANCHOR BUMPY INJEX,357.5
ANCHOR CINCHLOCK FLEX W/INSERT,2005.25
ANCHOR CLIK (SET OF 2),843.75
ANCHOR CLIK X (SET OF 2),843.75
ANCHOR CLIK X MRI (SET OF 2),843.75
ANCHOR GRAYPHON BR,750
ANCHOR GRYPHON BR PROKNOT,850
ANCHOR GRYPHON PEEK W/OL,1085
ANCHOR GRYPHON PROKNOT,800
ANCHOR HEALICOIL 5.5 MM SUTURE,815
ANCHOR HEALICOIL 5.5MM,815
ANCHOR HEALIX ADVANCE 6.5MM,900
ANCHOR HEALIX ADVANCE KNOTLESS PEEK 5.5MM,925
ANCHOR HEALIX ADVANCED 4.5MM,687.5
ANCHOR HEALIX ADVANCED 5.5 MM,900
ANCHOR HEALIX ADVANCED KNOTLESS 6.5,900
ANCHOR HEALIX ADVANCED KNOTLESS PEEK 4.75MM,900
ANCHOR HEALIX ADVANCED PEEK 3 SUTURE W/ ORTHOCORD,920
ANCHOR HEALIX ADVANCED PEEK 4.5,900
ANCHOR HEALIX ADVANCED PEEK 5.5,687.5
ANCHOR HEALIX ADVANCED W/ 3 SUTURE,700
ANCHOR HEALIX BR W ORTHOCORD 6.5MM,967.5
ANCHOR HEALIX BR W ORTHROCORD 5.5MM,1082.5
ANCHOR INSITE FT 5.5 MM,552.5
ANCHOR JUGGERKNOT 2.9MM BLUE,750
ANCHOR JUGGERKNOT SINGLE LOADED SZ 2 1.5MM,656.25
ANCHOR LUPINE BR DS W/ORTHOCORD,857.5
ANCHOR MICRO QUICK PLUS W ETHIBOND 3 0,1087.5
ANCHOR MICRO QUICK PLUS W ETHIBOND 4 0,1402.5
ANCHOR MICROFIX PLUS #4,1130
ANCHOR MINI CORKSCREW,712.5
ANCHOR MINI QUICK PLUS W ETHIBOND 2 0,1402.5
ANCHOR PITON 3.5 MM,740
ANCHOR PITON 3.5 MM,740
ANCHOR PUSHLOC 3.5MM,900
ANCHOR QUICK MINI  PLUS,1402.5
ANCHOR SUTURE 5.5MM,810
ANCHOR SUTURE ANCHOR CORKSCREW,487.5
ANCHOR SUTURE CORKSCREW FT 3.5X10MM,712.5
ANCHOR SUTURE PEEK-SWIVELOCK 4.75 X 19.1 MM . VENTED,937.5
ANCHOR SUTURE PEEK-SWIVELOCK 5.5 X 19.1 MM . VENTED,937.5
ANCHOR SUTURE TWINFIX,634.58
ANCHOR SUTURE W/ULTRABRAID  2.3PK BLACK,1359
ANCHOR SUTURE W/ULTRABRAID  2.3PK BLUE,755
ANCHOR SUTUREFIX ULTRABRAID #2  BLUE,894.63
ANCHOR SWIFT LOCK,573.75
ANCHOR SWIVELOCK 4.75X19.1MM,1000
ANCHOR TISSUE RETIEVAL BAG W/10MM INTRODUCER,307.57
ANCHOR TISSUE RETIEVAL BAG W/15MM INTRODUCER,654.78
ANCHOR TWINFIX PK FT 5.5MM SUTURE,1309.14
ANCHOR VERSALOK W/ORTHOCORD,987.5
ANCHOR-C AVS CERV CAGE 6 X 12 X 14MM 4-DEG,9750
ANCHOR-C AVS CERV CAGE 7 X 12 X 14MM 4-DEG,9750
ANCHOR-C AVS CERV CAGE 7 X 12 X 14MM 8-DEG,9750
ANGIOGUARD RX 5MM EMBOLI CAPTURE GUIDEWIRE SYS,5062.5
ANGIOGUARD RX 6MM EMBOLI CAPTURE GUIDEWIRE SYS,5062.5
ANGIOJET SOLENT OMNI THROMBECTAMY SYSTEM,7290
ANGIOJET THROMBECTOMY SYSTEM,6840
ANKLE NAIL PANTA 10MM X150MM,10986.75
ANKLE RECON LATERAL,4375
ANKLE VARIABLE FIXATOR,11771.38
ANNULOPLASTY RING - MITRAL SZ 28,5125
ANNULOPLASTY RING - MITRAL SZ 32,5125
ANNULOPLASTY RING - MITRAL SZ 36,5125
ANNULOPLASTY RING - MITRAL SZ30,5125
ANNULOPLASTY RING - MITRAL SZ34,5125
ANTENNA MICROWAVE 17CM,8991.9
ANTENNA MICROWAVE ABLATION 15CM,14377.5
ANTENNA PATIENT PROGRAMMER EXTERNAL FOR NEURO STIM,360
ANTERIOR TIBIALIS TENDON,3501.58
ANVIL ASSEMBLY ORVIL 21MM,1095.48
ANVIL ASSEMBLY ORVIL 25MM,1316.61
AORTIC BODY OVATION IX 23MM,23035
AORTIC BODY OVATION IX 29MM,23035
APLIGRAF  75MM DIA.,3237.5
APPLEBAUM INCUDO STAPEDIAL JOIN 2.0MM SMALL,874
APPLICATOR FLIPTIP F HEMODERM,483.75
APPLICATOR SURGIFLO ENDOSCOPIC 34CM,238.67
AQUA VAGE VACUUM,787.5
AQUAMANTYS 6.0 BIPOLAR SEALER buyer,2022.93
AQUAMANTYS 8.7MM ROUND TIP ENDO VESSEL SEALER buyer,2809.89
ARCOMXL 32MM RLC LNR HW SZ24,4815
ARCOMXL 32MM RLC LNR HW SZ25,5260
ARISTA 1GM HEMOSTATIC ABSORB PARTICLES,402.75
ARISTA 3GM HEMOSTATIC ABSORB PARTICLES,801
ARM SLING  ULTRASLING II AB  LARGE,229.19
ARM SLING  UTRASLING II AB  MEDIUM,229.19
ARTHROSCOPY TUBE SETS F/3M PUMP,251.87
ARTICULAR KNEE SURFACE INSERTER TIP,445.5
ARTICULAR SURFACE INSERTER TIP,263.25
ASCENDA INTRATHECAL CATHETER 114CM,1187.5
ASCENDA INTRATHECAL CATHETER 140CM,1187.5
ATLAS BALLON CATH 18MM X40MM,1530
ATRICLIP GILLINOV COSGROVE 35MM,2250
ATRICLIP GILLINOV COSGROVE 40MM,2250
ATRICLIP GILLINOV COSGROVE 45MM,2250
ATRICLIP GILLINOV COSGROVE 50MM,2250
AUGMENT TM ACETABULAR 58MM BUTTRESS,4912.5
AUTO INJECTOR,675
AUTOINJECTOR O-PRIME PMA,675
AUTOPLEX SYSTEM KIT W/O NEEDLES W/VERTAPLEX,2737.5
AUXILARY WATER TUBE,401.58
AVAMAX NEEDLE TROCAR AND BEVEL10G X 12CM VERTERBROPLASTY,450
AVAMAX VERTEBRAL BALLOON 10G X 15MM KIT KYPHOPLASTY,4725
AVAMAX VERTEBRAL BALLOON 10G X 20MM KIT KYPHOPLASTY,4725
AVIATOR PLUS 4MM X 2CM PTA DILATATION CATH,922.5
AVIATOR PLUS 4MM X 3CM PTA DILATATION CATH,922.5
AVIATOR PLUS 5.5MM X 3CM PTA DILATATION CATH,922.5
AVIATOR PLUS 5MM X 2CM PTA DILATATION CATH,922.5
AVIATOR PLUS 5MM X 3CM PTA DILATATION CATH,922.5
AVITENE HEMOSTAT 2.75 X 1.4,328
AVX THROMBECTOMY CATHETER ANGIOJET,1625
AWL 5.5MM,958.5
AXOGEN CONNECTOR 6MM X 15 MM,5850
AXOGEN CONNECTOR 7MM X 15MM,5850
AXSOS CABLE PLUG 5.0MM BASIC FRAG,198
BABCOCK 10MM ENDOPATH W/HANDLE,246.93
BAG GENERAL PLASTIC,1949.18
"BAHA 4 SOUND PROCESSOR, COLOR-CHESTNUT BROWN",8750
BALDE SCREWDRIVER T8 AO SELF RETAINING,1417.5
BALLOON  CRE SIZE 18-19-20,819.72
BALLOON  GASTRIC,742.5
BALLOON 67-71CM PRESSURE REGULATING AMS 800 URINARY CONTROL SYSTEM,5945.75
BALLOON 7.5X34CC buyer,4149.45
BALLOON 7.5X40CC,4149.45
BALLOON DILATION CATHETER 18FT DIA 6MM LEN 10CM,693
BALLOON DILATOR SIZE 8-9-10,819.72
BALLOON DILATOR SZ 18MM-19MM- 20MM,972.68
BALLOON EXTRAVIEW DISTENTION,1953.9
BALLOON MULTILEVEL BILARY BALLOON,585
BALLOON NC EUPHORA RX DIL CATHETER 4.00 X 20MM,630
BALLOON SABER 5.0X40X150CM,922.5
BALLOON SABER 6.MM X 25CM X 150CM,922.5
BALLOON SABER 6.MMX10CMX150CM,922.5
BALLOON SABER 6.MMX15CMX150CM,922.5
BALLOON SINUPLASTY SOLO 6 X 16,3078
BALLOON SINUS RELIEVA SPINPLUS 6X16,8775
BALLOON TRILOBE,2767.5
BALLOON TRITON REPLACEMENT GASTROSTOMY TUBE 16 FR,167.85
BALLOON TRITON REPLACEMENT GASTROSTOMY TUBE 20 FR,150
BALLOON UROFORCE 6MM X 4XM W/ INFLATION DEVICE KIT,792
BALLOON UROMAX ULTRA DILATION 24FR X 8MM,1051.65
BALLOON UROMAX ULTRA HIGH PRESSURE 24F X 4CM,584.25
BALLOON UROMAX ULTRA HIGH PRESSURE 30F X 4CM,584.25
BALLOON UROMAX ULTRA HIGH PRESSURE 6CM,1051.65
BALLOON VIABAHN EXPANDABLE 8 X 59MM X 135CM,14044.5
BALLOON VIABAHN EXPANDABLE 8 X 79MM X 135CM,15408
BALLOON Z-MED AORTIC 18 MM X 4 CM X 100 CM,3043.98
BALLOON Z-MED AORTIC 18 MM X 6 CM X 100 CM,3043.98
BALLOON Z-MED AORTIC 20 MM X 4 CM X 85 CM,3043.98
BALLOON Z-MED AORTIC 20 MM X 5 CM X 100 CM,3043.98
BALLOON Z-MED AORTIC 20 MM X 5 CM X 120 CM,3043.98
BALLOON Z-MED AORTIC 22 MM X 4 CM X 85 CM,3043.98
BALLOON Z-MED AORTIC 22 MM X 6 CM X 100 CM,3043.98
BALLOON Z-MED AORTIC 23 MM X 4 CM X 120 CM,3122.01
BALLOON Z-MED AORTIC 23 MM X 5 CM X 100 CM,3043.98
BALLOON Z-MED AORTIC 24 MM X 4 CM X 100 CM,3043.98
BALLOON Z-MED AORTIC 25 MM X 4 CM X 85 CM,3043.98
BALLOON Z-MED AORTIC 26 MM X 4 CM X 75 CM,3043.98
BALLOON Z-MED AORTIC 28 MM X 4 CM X 75 CM,3043.98
BALOON INSPIRA AIR,3753
BAND HEART FUTURE 26MM,4250
BAND HEART FUTURE 28MM,4250
BAND HEART FUTURE 30MM,4125
BAND HEART FUTURE 32MM,4250
BAND HEART FUTURE 34MM,4250
BAND HEART FUTURE 36MM,4250
BAND HEART FUTURE 38MM,4250
BASE PLATE AEQUALIS REVERSED II GLENOID 25MM DIA X 15MM,3000
BASEPLATE NUM4,2500
BASKET  PARACHUTE  O  TIP MULTI WIRE,856.08
BASKET  SEGURA HEMISPHERE STONE,841.32
BASKET STONE BAGLEY HB/1.9/3/90,729
BASKET STONE RETRIEVAL  SEGURA 4 WIRE,841.32
BASKET STONE RETRIEVAL ZERO TIP 2.4FR X 120CM,765
BATTERY  DISPOSABLE FOR DRIVER STERILE,914.18
BATTERY IQ DRIVER,558
BATTERY PACK SINGLE USE DRIVER,945
BATTERY PK QUIKDRIVE MINI,719.96
BATTERY -POWER DRIVER 50-1000,247.5
BEACON TIP CATH 5FR DAV,1288.13
BEAD OSTEOSET RESORBABLE KIT,2850
BENDING TEMPLATE FOR 2.0MM MLP 20 HOLES-LARGE,263.34
BIO INTRAFIX SCREW 6 8MM X 30MM,875
BIO INTRAFIX SHEATH SMALL,1674
BIOCOMPOSITE INTERFERENCE SCREW 8C28MM,587.5
BIOCORKSCREW 5.5,712.5
BIOGLUE SURGICAL ADHESIVE 10ML SYRINGES,2057.5
BIOKNOTLESS ANCHOR W ORTHOCORD,467.75
BIOPUSHLOCK KIT  DISP 3.5,787.5
BIORAPTOR KNOTLESS ANCHOR,782.5
BIOSTOP G RESORB BONE RESTRICTOR 10MM,217.88
BIOSTOP G RESORB BONE RESTRICTOR 12MM,217.88
BIOSTOP G RESORB BONE RESTRICTOR 14MM,217.88
BIOSTOP G RESORB BONE RESTRICTOR 16MM,217.88
BIOSTOP G RESORB BONE RESTRICTOR 18MM,217.88
BIOSTOP G RESORB BONE RESTRICTOR 20MM,217.88
BIOSTOP G RESORB BONE RESTRICTOR 8MM,217.88
BIO-SUTURETAK 3 X 14MM SUTURE ANCHOR #2 FIBERWIRE,800
BIT 1.5MM DRILL,525.83
BIT 2.0MM DRILL,443.61
BIT 2.5 MM DRILL,659.21
BIT 2.7 CALIBRATED DRILL,375.3
BIT 2.7 CALIBRATED DRILL,405.9
BIT 2.8MM DRILL,657
BIT 2.9 CANNULATED DRILL,669.6
BIT 3.2MM DRILL,661.77
BIT 4.3 MM DRILL,661.77
BIT 5.0 MM CANNULATED DRILL,1236.33
BIT 5.0MM CANNULATED DRILL,1546.7
BIT DRILL 12MM,1264.5
BIT DRILL 2.0,657
BIT DRILL 2.0 CANNULATED,787.5
BIT DRILL 2.4MM W/STOP 2-FLUTE QC,940.5
BIT DRILL 2.5MM,378.68
BIT DRILL 3.2 SHORT,1696.5
BIT DRILL 3.2MM SOLID,641.03
BIT DRILL 3.2MM W FLEXIBLE SHAFT,2358
BIT DRILL 4.2 X 130MM AO STERILE,694.98
BIT DRILL 4.3,186.75
BIT DRILL 4.3MM NCB-PT,1845
BIT DRILL 4.5MM,450.45
BIT DRILL 4.8MM SOLID,641.03
BIT DRILL AO 3MM,665.82
BIT DRILL BIT 2.0 MM,918
BIT DRILL BIT 2.3 MM,918
BIT DRILL BIT 2.5 MM,918
BIT DRILL BIT 2.7 MM,918
BIT DRILL CALIBRATED J-LATCH 125MM,782.51
BIT DRILL CLAW II 2.0MM,657
BIT DRILL RINGLOC 2.8 X 40MM,526.5
BIT DRILL RINGLOC 2.8MMX 30MM,526.5
BIT DRILL RINGLOC 3.2MMX 20MM,526.5
BIT DRILL RINGLOC 3.2MMX 30MM,553.5
BIT DRILL T2 4.2 X 180MM AO STERILE,746.01
BIT DRILL T2 4.2 X 260MM AO STERILE,694.98
BIT DRILL T2 4.2 X 340MM AO STERILE ANKLE ARTHRODESIS,694.98
BIT DRILL VAIL 3.5 MM,1489.5
BIT SOLID 1.7MM,355.5
BIT STOP DRILL MEDIAL ADN DISTAL,542.7
BLADE,2362.5
BLADE,2362.5
BLADE .020 RAYHACK ULNAR F/LINVATEC,400.5
BLADE .020 RAYHACK ULNAR F/STRYKER,400.5
BLADE 2.0 FULL RADIUS SHAVER BLADE,228.75
BLADE 2.0MM  FULL RADIUS,249.08
BLADE 2.0MM  MINI TURBO WISKER,302.54
BLADE 2.9 ABRADOR SHAVER BLADE,228.75
BLADE 2.9 FULL RADIUS SHAVER BLADE,228.75
BLADE 2.9MM  FULL RADIUS,244.5
BLADE 3.5MM SKIMMER ANGLED TIP  27.5CM,1629.06
BLADE 4.5MM  INCISOR PLUS,210
BLADE 56 LONG EXPLANT,2362.5
BLADE 56 SHORT EXPANT,2362.5
BLADE ACROMIONIZER 4.0 ARTHROSCOPY,217.5
BLADE ACROMIONIZER ARTHROSCOPY 5.5 BRN,217.5
BLADE ANGLED,370.8
BLADE ARTHROSCOPY  ABRADER MINI,278.38
BLADE ARTHROSCOPY FULL RADIUM 4.5 YEL,267.67
BLADE BANANA,1215
BLADE BOOKWALTER 6 IN DISPOSABLE,230.63
BLADE CHISEL 20MM X 2.5,589.55
BLADE COLD KNIFE,612.44
BLADE CONCAVE INCISOR,217.5
BLADE CRESCENTIC SMALL,466.34
BLADE DIEGO MICRODEBRIDER,2328.75
BLADE EXPLANT FULL 46MM,2362.5
BLADE EXPLANT FULL 48MM,2362.5
BLADE EXPLANT FULL 50MM,2362.5
BLADE EXPLANT FULL 52MM,2362.5
BLADE EXPLANT FULL 54MM,2362.5
BLADE EXPLANT FULL 56MM,2362.5
BLADE EXPLANT FULL 58MM,2362.5
BLADE EXPLANT FULL 60MM,2362.5
BLADE EXPLANT FULL 62MM,2362.5
BLADE EXPLANT FULL 64MM,2362.5
BLADE EXPLANT FULL 66MM,2362.5
BLADE EXPLANT TRUNCATED 46MM,2362.5
BLADE EXPLANT TRUNCATED 48MM,2227.5
BLADE EXPLANT TRUNCATED 50MM,2362.5
BLADE EXPLANT TRUNCATED 52MM,2362.5
BLADE EXPLANT TRUNCATED 54MM,2362.5
BLADE EXPLANT TRUNCATED 56MM,2362.5
BLADE EXPLANT TRUNCATED 58MM,2362.5
BLADE EXPLANT TRUNCATED 60MM,2362.5
BLADE EXPLANT TRUNCATED 62MM,2362.5
BLADE EXPLANT TRUNCATED 64MM,2362.5
BLADE EXPLANT TRUNCATED 66MM,2362.5
BLADE FLEX  OSTEOTOME 8MM SHORT,540
BLADE FLEX OSTEOTOME  LONG 10MM,540
BLADE FLEX OSTEOTOME 12MM LONG,504
BLADE FLEX OSTEOTOME 12MM SHORT,540
BLADE FLEX OSTEOTOME 20MM SHORT,540
BLADE FLEX OSTEOTOME 8MM LONG,540
BLADE FLEX OSTOETOME 10MM SHORT,540
BLADE FLEXIBLE CHISEL 12 X 5,589.55
BLADE FLEXIBLE CHISEL 8 X 15,651.6
BLADE FLEXIBLE OSTEOTOME 12 MM,589.55
BLADE FLEXIBLE OSTEOTOME BLADE 8MM,589.55
BLADE FOR CABLE CUTTER,2316.2
"BLADE FOR SCREWDRIVER AO, T10",478.71
BLADE FULL RADIUS ARTHROSCOPY 5.5MM ORG,281.06
BLADE HELICAL TI F/IM NAIL 11X 90MM STERILE,1265.4
BLADE HELICAL TI F/IM NAIL 11X 95MM STERILE,2277.72
BLADE HELICAL TI F/IM NAIL 11X100MM STERILE,1265.4
BLADE HELICAL TI F/IM NAIL 11X105MM,2105.87
BLADE HELICAL TI F/IM NAIL 11X105MM STERILE,2277.72
BLADE HIP F-SERIES XL ANGLED AGG.,273.45
BLADE HIP TOMCAT LONG F-SERIES 4.0MM,351
