Generic Item Name,National Drug Code, Charge 
aztreonam 20 mg/mL (PED) IVPB,63323040124,$98.42 
AZTREONAM 500 mg INJ (Azactam),23,$81.00 
BACITRACIN 50000 units PWDI,9023301,$31.50 
BACITRACIN Irrigation 25000 units/1000 mL NSS,10000000010,$0.08 
BACITRACIN OPHTHALMIC OINT. 500 units/g,48102000735,$83.57 
BACITRACIN TOPICAL OINT 500 units/g 15 gram(s),168001135,$0.89 
BACITRACIN TOPICAL OINT 500 units/g PACKET,168001109,$0.45 
baciTRACIN/neomycin/polymyxin B topical OINT (1 Gram) (Neosporin (EQV)),168001209,$0.96 
baciTRACIN/neomycin/polymyxin B topical OINT(Neosporin EQV)),168001235,$1.11 
Bacitracin/Polymyxin 50000/500000 units irrigation (Double Antibiotic),21,$0.11 
Bacitracin-Kanamycin 50000 units-1gm/2000 mL Irrigation (Laminectomy Irrigation),22,$0.05 
BACITRACIN-POLYMYXIN B OPH. OINT 500 units-10000 units/g (Polysporin Oph. Oint. (EQV)),17478023835,$19.48 
BACITRACIN-POLYMYXIN B TOPICAL 500 units-10000 units/g OINT (Polysporin (EQV)),168002135,$1.80 
baclofen 0.05 mg/mL 1 mL INJ (Gablofen),45945015101,$324.00 
baclofen 0.5 mg/mL 20 mL Inj (Gablofen),45945015502,$37.13 
BACLOFEN 0.5 mg/mL SOLN (Lioresal (EQV)),58281056001,$62.10 
baclofen 1 mg/mL 20 mL Inj (Gablofen),45945015602,$148.50 
BACLOFEN 10 mg TAB (Lioresal (EQV)),904336561,$1.68 
BACLOFEN 2.5 mg (1/4 of 10 mg) TAB,172409688,$1.00 
BACLOFEN 5 mg (1/2 of 10 mg) TAB,904336560,$1.00 
BALSALAZIDE DISODIUM 750 mg CAP (Colazal (EQV)),68084079932,$6.86 
BALSAM PERU/CASTOR OIL/TRYPSIN topical 87 mg-788 mg-90 units/g OINTMENT (Xenaderm (EQV)),58980079021,$3.79 
BALSAM PERU/CASTOR OIL/TRYPSIN TOPICAL SPRAY (Granulex (EQV)),62794000251,$0.50 
BECLOMETHASONE  40 mcg/inh INHALER (Qvar (EQV)),59310017540,$46.82 
BECLOMETHASONE AQ NASAL 0.042 mg/inh SPRAY (Beconase-AQ (EQV)),173038879,$46.14 
BELLADONNA-OPIUM 16.2 mg-60 mg SUPP,574704012,$132.77 
BENAZEPRIL 10 mg TAB (Lotensin (EQV)),51079014520,$3.12 
bendamustine 25 mg/mL SOLN,63459034804,$96.80 
BENZOCAINE TOPICAL 20% GEL (Anbesol Max Str (EQV)),573022567,$2.31 
BENZOCAINE TOPICAL 20% SPRAY (Dermoplast) (EQV)),63029085041,$0.37 
BENZOCAINE topical 20% Spray (Hurricane),283067902,$2.21 
BENZOCAINE TOPICAL PASTE 20% (Orabase w Benz (EQV)),38341006545,$2.91 
BENZOIN TOPICAL COMPOUND TINC,54162010002,$0.37 
BENZOIN topical spray,54162010504,$0.33 
BENZONATATE 100 mg CAP (Tessalon Perle (EQV)),65162053610,$1.47 
benztropine 0.25 mg (1/2 of 0.5mg) TAB,10135060601,$1.04 
BENZTROPINE 0.5 mg TAB (Cogentin (EQV)),68084038101,$1.00 
BENZTROPINE 1 mg TAB (Cogentin (EQV)),68084038801,$1.00 
BENZTROPINE 2 mg TAB (Cogentin (EQV)),68084038901,$1.00 
BENZTROPINE 2 mg/2 mL INJ (Cogentin (EQV)),17478001202,$116.59 
BETAMETHASONE ACETATE-BETAMETHASONE SODIUM PHOSPHATE 6 MG/mL SUSP,517072001,$31.75 
BETAMETHASONE VALERATE TOPICAL 0.1% CREAM,51672126901,$5.85 
BETAMETHASONE-CLOTRIMAZOLE Topical 0.05%-1%  CREAM (Lotrisone (EQV)),168025815,$8.05 
BETAXOLOL 0.25% OPH. SUSP (Betoptic (EQV)),65024620,$40.41 
BETAXOLOL 0.5% OPHTH. SOLN (Betoptic (EQV)),17478070510,$49.77 
BETAXOLOL 10 mg TAB (Kerlone),24230110,$13.44 
bethanechol 10 mg TAB,68084016601,$1.76 
bethanechol 25 mg TAB,68084011001,$2.48 
bethanechol 5 mg TAB,64980016001,$1.00 
bethanechol Oral Sol 1 mg/mL(SCN),40000400001,$2.25 
BEVACIZUMAB 25 mg/mL Solution,50242006001,$702.00 
BICALUTAMIDE 50 mg TAB (Casodex),16729002301,$27.32 
BISACODYL 10 mg SUPP (Dulcolax (EQV)),49348097967,$1.13 
BISACODYL 5 mg (Dulcolax (EQV)),904792760,$0.08 
BISMUTH SUBSALICYLATE 262 mg TC,904131546,$0.26 
BISMUTH SUBSALICYLATE 262 mg/15 mL ORAL SUSP (Pepto-Bismol (EQV)),182181144,$0.03 
BISOPROLOL 10 mg TAB (Zebeta),51285006101,$23.37 
bisoprolol 2.5 mg (1/2 of 5 mg) TAB,51285004702,$21.69 
BISOPROLOL 5 mg TAB (Zebeta),68084048721,$5.64 
BISOPROLOL-HYDROCHLOROTHIAZIDE 2.5 mg-6.25 mg TAB (Ziac),185070101,$1.02 
BIVALIRUDIN 250 mg PWDI,65293000422,"$2,925.00 "
bivalirudin 250 mg/ 50 mL NSS SOLN,409830010,"$3,996.77 "
BLEOMYCIN 3 units/mL PWDI,703315401,$76.28 
bortezomib 1 mg/mL INJ,63020004901,$582.26 
bortezomib 2.5 mg/mL INJ,63020004901,"$5,094.68 "
BOTULINUM TOXIN TYPE 100 units Powder for Injection,23923201,"$2,306.70 "
brentuximab vedotin 5 mg/mL (ADCETRIS),51144005001,"$2,637.90 "
BRIMONIDINE  0.2%  OPH. SOLN (Alphagan (EQV)),17478071510,$16.80 
BRINZOLAMIDE OPH. 1% SUSP (Azopt),65027505,$33.22 
BROMFENAC OPH. 0.09% SOLN (Bromday),67425099917,$451.67 
BROMOCRIPTINE 1.25 mg (1/2 of 2.5 mg) TAB,378024293,$4.72 
BROMOCRIPTINE 2.5 mg TAB (Parlodel (EQV)),378204293,$24.88 
budesonide 0.25 mg/2 mL INHALANT SUSP (Pulmicort (EQV)),487960101,$19.57 
budesonide 0.5 mg/2 mL INHALANT SUSP (Pulmicort (EQV)),186198904,$16.61 
BUMETANIDE 0.125 mg/mL (SCN) INJ,40000000023,$4.50 
BUMETANIDE 0.25 mg (1/2 of 0.5 mg) TAB,172423260,$1.00 
bumetanide 0.25 mg/mL (PED) INJ,409141249,$7.52 
BUMETANIDE 0.25 mg/mL SOLN (10 mL) (Bumex (EQV)),55390050010,$1.35 
BUMETANIDE 0.25 mg/mL SOLN (2 mL) (Bumex (EQV),55390050002,$3.35 
BUMETANIDE 0.25 mg/mL SOLN (4 mL) (Bumex (EQV)),409141204,$2.86 
BUMETANIDE 0.5 mg TAB (BUMEX (EQV)),185012801,$3.44 
BUMETANIDE 1 mg TAB (Bumex (EQV)),185012901,$3.47 
bupivacaine 0.125% 250 mL,61553088148,$0.23 
BUPIVACAINE 0.25% (10 mL) INJ PF (Marcaine (EQV)),54569395200,$1.44 
BUPIVACAINE 0.25% (50 ml) MDV (Marcaine (EQV)),409158750,$0.52 
bupivacaine 0.25% 150 mL,61553019341,$0.45 
BUPIVACAINE 0.25% INJ PF (30 ml) (Marcaine) (EQV)),55150016830,$0.27 
BUPIVACAINE 0.5% (30 mL) INJ PF (Marcaine (EQV)),409116101,$0.61 
