FIM DESCRIPTION,LH PRICE
ACYLCARNITINES QUANT EA SPECIMEN,59.23
ADAMTS13 INHIBITOR,40.17
ADAMTS13 INHIBITOR,63
ADAMTS13ACTIVITY W/RFLX TO INHBTR,77.15
ADD'L SEQUENTIAL-2 LINES,722
ADH,132.62
ADIPONECTIN,48.04
ADL SAFE TRAIN EA 15 MIN,185
ADL SAFE TRAIN EA 15 MIN MOD 59,185
ADL SAFETY TRAIN EA 15 MIN,185
ADL/HOME MGMT TRAIN EA 15 MOD 59,185
ADL/HOME MGMT TRAIN/15MIN,185
ADL/HOME MGT TRAIN EA 15 MIN,185
ADM INFUENZA VACCINE       771,143.85
ADM PNEUMOCOCCAL VACCINE   771,143.85
ADMIN FLU VIRUS VACCINE,45
ADMIN PNEUMOCOCCAL VACCIN,45
ADRENAL IMAGING,3048
ADRENAL TOTAL AUTOANTIBODIES,44.04
AFB CULTURE (3OF3),33.53
AFP  SERUM  OPEN SPINA BIFIDA,63.56
AFP TUMOR MARKER,63.56
AG DETECT NOS IA MULT,38.03
ALANINE AMINO (ALT) (SGPT) 9OF10,5
ALBUMIN SERUM,5
ALCOHOL  ETHYL  QN  RANDOM URINE,200
ALCOHOL SERUM,200
ALDOLASE,39.54
ALDOSTERONE SUPINE,161.64
ALDOSTERONE URINE,161.64
ALDOSTERONE/PLASMA RENIN RATIO,161.64
ALK PHOSPHATASE,5
ALK PHOSPHATASE BONE SPECIFIC,5
ALK PHOSPHATASE ISOENZYMES 1OF2,5
ALKP FRACTIONATION,58.8
ALLERGEN SPECIFIC IGE,18.52
ALLERGEN SPECIFIC IGE,18.52
ALLERGEN SPECIFIC IGE EA,18.52
ALLERGENS 10,18.52
ALLERGY NORTHEAST REGIONAL PANEL,18.52
ALLG SPEC IGE RECOMB EA,55.35
ALPHA 1 ANTITRYPSIN PHENOTYPE,54.3
ALPHA 1 ANTITRYPSIN TOTAL,50.54
ALPHA 2-MACROGLOBULIN 5OF6,23.36
ALPHA FETAPROTEIN QUAD SC,63.56
ALPHA FETAPROTEIN QUAD/1,47.54
ALPHA FETAPROTEIN QUAD/2,20.27
ALPHA FETAPROTEIN QUAD/4,92.08
ALPHA FETOPROTEIN MATERNL,63.56
ALPHA GLOBULIN COMMON MUTATN ANLY,458.05
ALPHA-1-ANTITRYPSIN PHENOTYPE,54.3
ALPHA-1-ANTITRYPSIN TOT/PHENO,50.54
ALT,5
ALT 6OF6,5
ALUMINUM SERUM,101.84
AMIKACIN,58.8
AMINO ACID PROFILE,58.3
AMINO ACID SCAN,58.3
AMINO ACIDS SINGLE QUANT EA,82.6
AMIODARONE (CORDARONE(R)) S,200
AMIT/NORT,200
AMITRIPTYLINE W/NORTRIPTYLN SERUM,200
AMMONIA,56.8
AMYLASE-SERUM,25.27
ANA QUAL SCREEN,47.04
ANA QUANTITATIVE SCREEN,47.04
ANAEROBIC CULT,37.03
ANAEROBIC CULT DEF ID,22.27
ANAPLASMA ANTIBODY IGG 1OF2,37.78
ANAPLASMA ANTIBODY IGM 2OF2,37.78
ANCA SCRN W/MPO PR3 RFLX TO TITER,28.78
ANDROSTENEDIONE  LC/MS/MS,115.35
ANES GEN/REGIONAL EA ADDL 1MIN,37.51
ANES GEN/REGIONAL INITI 30MIN,1099.89
ANES GENERAL EA ADDL 1MIN,33.88
ANES GENERAL INITIAL 30MIN,1000.67
ANES MAC ADDL 1MIN,27.83
ANES MAC INITIAL 30 MIN,810.7
ANES REGIONAL EA ADDL 1MIN,24.2
ANES REGIONAL INITIAL 30MIN,728.42
ANES SPINAL EA ADDL 1MIN,15.25
ANES SPINAL INITIAL 30MIN,900.24
ANESTHESIA LEV I 0.5 HR,129
ANESTHESIA LEV I 1.0 HR,241
ANESTHESIA LEV I 1.5 HR,353
ANESTHESIA LEV I 10.0 HR,2257
ANESTHESIA LEV I 10.5 HR,2369
ANESTHESIA LEV I 11.0 HR,2481
ANESTHESIA LEV I 11.5 HR,2593
ANESTHESIA LEV I 12.0 HR,2705
ANESTHESIA LEV I 12.5 HR,2817
ANESTHESIA LEV I 13.0 HR,2929
ANESTHESIA LEV I 13.5 HR,3041
ANESTHESIA LEV I 14.0 HR,3153
ANESTHESIA LEV I 14.5 HR,3265
ANESTHESIA LEV I 15.0 HR,3377
ANESTHESIA LEV I 15.5 HR,3489
ANESTHESIA LEV I 16.0 HR,3601
ANESTHESIA LEV I 16.5 HR,3713
ANESTHESIA LEV I 17.0 HR,3825
ANESTHESIA LEV I 17.5 HR,3937
ANESTHESIA LEV I 18.0 HR,4049
ANESTHESIA LEV I 18.5 HR,4161
ANESTHESIA LEV I 19.0 HR,4273
ANESTHESIA LEV I 19.5 HR,4385
ANESTHESIA LEV I 2.0 HR,465
ANESTHESIA LEV I 2.5 HR,577
ANESTHESIA LEV I 20.0 HR,4497
ANESTHESIA LEV I 3.0 HR,689
ANESTHESIA LEV I 3.5 HR,801
ANESTHESIA LEV I 4.0 HR,913
ANESTHESIA LEV I 4.5 HR,1025
ANESTHESIA LEV I 5.0 HR,1137
ANESTHESIA LEV I 5.5 HR,1249
ANESTHESIA LEV I 6.0 HR,1361
ANESTHESIA LEV I 6.5 HR,1473
ANESTHESIA LEV I 7.0 HR,1585
ANESTHESIA LEV I 7.5 HR,1697
ANESTHESIA LEV I 8.0 HR,1809
ANESTHESIA LEV I 8.5 HR,1921
ANESTHESIA LEV I 9.0 HR,2033
ANESTHESIA LEV I 9.5 HR,2145
ANESTHESIA LEV II 0.5 HR,142
ANESTHESIA LEV II 1.0 HR,265
ANESTHESIA LEV II 1.5 HR,388
ANESTHESIA LEV II 10.0 HR,2480
ANESTHESIA LEV II 10.5 HR,2603
ANESTHESIA LEV II 11.0 HR,2726
ANESTHESIA LEV II 11.5 HR,2849
ANESTHESIA LEV II 12.0 HR,2972
ANESTHESIA LEV II 12.5 HR,3095
ANESTHESIA LEV II 13.0 HR,3218
ANESTHESIA LEV II 13.5 HR,3341
ANESTHESIA LEV II 14.0 HR,3464
ANESTHESIA LEV II 14.5 HR,3587
ANESTHESIA LEV II 15.0 HR,3710
ANESTHESIA LEV II 15.5 HR,3833
ANESTHESIA LEV II 16.0 HR,3956
ANESTHESIA LEV II 16.5 HR,4079
ANESTHESIA LEV II 17.0 HR,4202
ANESTHESIA LEV II 17.5 HR,4325
ANESTHESIA LEV II 18.0 HR,4448
ANESTHESIA LEV II 18.5 HR,4571
ANESTHESIA LEV II 19.0 HR,4694
ANESTHESIA LEV II 19.5 HR,4817
ANESTHESIA LEV II 2.0 HR,511
ANESTHESIA LEV II 2.5 HR,634
ANESTHESIA LEV II 20.0 HR,4940
ANESTHESIA LEV II 3.0 HR,758
ANESTHESIA LEV II 3.5 HR,881
ANESTHESIA LEV II 4.0 HR,1004
ANESTHESIA LEV II 4.5 HR,1127
ANESTHESIA LEV II 5.0 HR,1250
ANESTHESIA LEV II 5.5 HR,1373
ANESTHESIA LEV II 6.0 HR,1496
ANESTHESIA LEV II 6.5 HR,1619
ANESTHESIA LEV II 7.0 HR,1742
ANESTHESIA LEV II 7.5 HR,1865
ANESTHESIA LEV II 8.0 HR,1988
ANESTHESIA LEV II 8.5 HR,2111
ANESTHESIA LEV II 9.0 HR,2234
ANESTHESIA LEV II 9.5 HR,2357
ANESTHESIA LEV III 0.5 HR,156
ANESTHESIA LEV III 1.0 HR,291
ANESTHESIA LEV III 1.5 HR,427
ANESTHESIA LEV III 10.0 HR,2724
ANESTHESIA LEV III 10.5 HR,2859
ANESTHESIA LEV III 11.0 HR,2994
ANESTHESIA LEV III 11.5 HR,3129
ANESTHESIA LEV III 12.0 HR,3264
ANESTHESIA LEV III 12.5 HR,3399
ANESTHESIA LEV III 13.0 HR,3534
ANESTHESIA LEV III 13.5 HR,3669
ANESTHESIA LEV III 14.0 HR,3804
ANESTHESIA LEV III 14.5 HR,3939
ANESTHESIA LEV III 15.0 HR,4074
ANESTHESIA LEV III 15.5 HR,4209
ANESTHESIA LEV III 16.0 HR,4344
ANESTHESIA LEV III 16.5 HR,4479
ANESTHESIA LEV III 17.0 HR,4614
ANESTHESIA LEV III 17.5 HR,4749
ANESTHESIA LEV III 18.0 HR,4884
ANESTHESIA LEV III 18.5 HR,5019
ANESTHESIA LEV III 19.0 HR,5154
ANESTHESIA LEV III 19.5 HR,5289
ANESTHESIA LEV III 2.0 HR,562
ANESTHESIA LEV III 2.5 HR,698
ANESTHESIA LEV III 20.0 HR,5424
ANESTHESIA LEV III 3.0 HR,833
ANESTHESIA LEV III 3.5 HR,969
ANESTHESIA LEV III 4.0 HR,1104
ANESTHESIA LEV III 4.5 HR,1239
ANESTHESIA LEV III 5.0 HR,1374
ANESTHESIA LEV III 5.5 HR,1509
ANESTHESIA LEV III 6.0 HR,1644
ANESTHESIA LEV III 6.5 HR,1779
ANESTHESIA LEV III 7.0 HR,1914
ANESTHESIA LEV III 7.5 HR,2049
ANESTHESIA LEV III 8.0 HR,2184
ANESTHESIA LEV III 8.5 HR,2319
ANESTHESIA LEV III 9.0 HR,2454
ANESTHESIA LEV III 9.5 HR,2589
ANESTHESIA LEV IV 0.5 HR,171
ANESTHESIA LEV IV 1.0 HR,321
ANESTHESIA LEV IV 1.5 HR,470
ANESTHESIA LEV IV 10.0 HR,3003
ANESTHESIA LEV IV 10.5 HR,3152
ANESTHESIA LEV IV 11.0 HR,3301
ANESTHESIA LEV IV 11.5 HR,3450
ANESTHESIA LEV IV 12.0 HR,3599
ANESTHESIA LEV IV 12.5 HR,3748
ANESTHESIA LEV IV 13.0 HR,3897
ANESTHESIA LEV IV 13.5 HR,4046
ANESTHESIA LEV IV 14.0 HR,4195
ANESTHESIA LEV IV 14.5 HR,4344
ANESTHESIA LEV IV 15.0 HR,4493
ANESTHESIA LEV IV 15.5 HR,4642
ANESTHESIA LEV IV 16.0 HR,4791
ANESTHESIA LEV IV 16.5 HR,4940
ANESTHESIA LEV IV 17.0 HR,5089
ANESTHESIA LEV IV 17.5 HR,5238
ANESTHESIA LEV IV 18.0 HR,5387
ANESTHESIA LEV IV 18.5 HR,5536
ANESTHESIA LEV IV 19.0 HR,5685
ANESTHESIA LEV IV 19.5 HR,5834
ANESTHESIA LEV IV 2.0 HR,619
ANESTHESIA LEV IV 2.5 HR,768
ANESTHESIA LEV IV 20.0 HR,5983
ANESTHESIA LEV IV 3.0 HR,917
ANESTHESIA LEV IV 3.5 HR,1066
ANESTHESIA LEV IV 4.0 HR,1215
ANESTHESIA LEV IV 4.5 HR,1364
ANESTHESIA LEV IV 5.0 HR,1513
ANESTHESIA LEV IV 5.5 HR,1662
ANESTHESIA LEV IV 6.0 HR,1811
ANESTHESIA LEV IV 6.5 HR,1960
ANESTHESIA LEV IV 7.0 HR,2109
ANESTHESIA LEV IV 7.5 HR,2258
ANESTHESIA LEV IV 8.0 HR,2407
ANESTHESIA LEV IV 8.5 HR,2556
ANESTHESIA LEV IV 9.0 HR,2705
ANESTHESIA LEV IV 9.5 HR,2854
ANESTHESIA LEV IX 0.5 HR,276
ANESTHESIA LEV IX 1.0 HR,516
ANESTHESIA LEV IX 1.5 HR,756
ANESTHESIA LEV IX 10.0 HR,4838
ANESTHESIA LEV IX 10.5 HR,5078
ANESTHESIA LEV IX 11.0 HR,5318
ANESTHESIA LEV IX 11.5 HR,5078
ANESTHESIA LEV IX 12.0 HR,5318
ANESTHESIA LEV IX 12.5 HR,5558
ANESTHESIA LEV IX 13.0 HR,5798
ANESTHESIA LEV IX 13.5 HR,6038
ANESTHESIA LEV IX 14.0 HR,6278
ANESTHESIA LEV IX 14.5 HR,6518
ANESTHESIA LEV IX 15.0 HR,6758
ANESTHESIA LEV IX 15.5 HR,6998
ANESTHESIA LEV IX 16.0 HR,7238
ANESTHESIA LEV IX 16.5 HR,7478
ANESTHESIA LEV IX 17.0 HR,7718
ANESTHESIA LEV IX 17.5 HR,7958
ANESTHESIA LEV IX 18.0 HR,8198
ANESTHESIA LEV IX 18.5 HR,8438
ANESTHESIA LEV IX 19.0 HR,8678
ANESTHESIA LEV IX 19.5 HR,8918
ANESTHESIA LEV IX 2.0 HR,996
ANESTHESIA LEV IX 2.5 HR,1236
ANESTHESIA LEV IX 20.0 HR,9158
ANESTHESIA LEV IX 3.0 HR,1476
ANESTHESIA LEV IX 3.5 HR,1717
ANESTHESIA LEV IX 4.0 HR,1957
ANESTHESIA LEV IX 4.5 HR,2197
ANESTHESIA LEV IX 5.0 HR,2437
ANESTHESIA LEV IX 5.5 HR,2677
ANESTHESIA LEV IX 6.0 HR,2917
ANESTHESIA LEV IX 6.5 HR,3157
ANESTHESIA LEV IX 7.0 HR,3397
ANESTHESIA LEV IX 7.5 HR,3637
ANESTHESIA LEV IX 8.0 HR,3877
ANESTHESIA LEV IX 8.5 HR,4117
ANESTHESIA LEV IX 9.0 HR,4357
ANESTHESIA LEV IX 9.5 HR,4598
ANESTHESIA LEV V 0.5 HR,189
ANESTHESIA LEV V 1.0 HR,353
ANESTHESIA LEV V 1.5 HR,517
ANESTHESIA LEV V 10.0 HR,3296
ANESTHESIA LEV V 10.5 HR,3459
ANESTHESIA LEV V 11.0 HR,3622
ANESTHESIA LEV V 11.5 HR,3785
ANESTHESIA LEV V 12.0 HR,3948
ANESTHESIA LEV V 12.5 HR,4111
ANESTHESIA LEV V 13.0 HR,4274
ANESTHESIA LEV V 13.5 HR,4437
ANESTHESIA LEV V 14.0 HR,4600
ANESTHESIA LEV V 14.5 HR,4763
ANESTHESIA LEV V 15.0 HR,4926
ANESTHESIA LEV V 15.5 HR,5089
ANESTHESIA LEV V 16.0 HR,5252
ANESTHESIA LEV V 16.5 HR,5415
ANESTHESIA LEV V 17.0 HR,5578
ANESTHESIA LEV V 17.5 HR,5741
ANESTHESIA LEV V 18.0 HR,5904
ANESTHESIA LEV V 18.5 HR,6067
ANESTHESIA LEV V 19.0 HR,6230
ANESTHESIA LEV V 19.5 HR,6393
ANESTHESIA LEV V 2.0 HR,681
ANESTHESIA LEV V 2.5 HR,845
ANESTHESIA LEV V 20.0 HR,6556
ANESTHESIA LEV V 3.0 HR,1008
ANESTHESIA LEV V 3.5 HR,1172
ANESTHESIA LEV V 4.0 HR,1336
ANESTHESIA LEV V 4.5 HR,1500
ANESTHESIA LEV V 5.0 HR,1664
ANESTHESIA LEV V 5.5 HR,1828
ANESTHESIA LEV V 6.0 HR,1992
ANESTHESIA LEV V 6.5 HR,2155
ANESTHESIA LEV V 7.0 HR,2318
ANESTHESIA LEV V 7.5 HR,2481
ANESTHESIA LEV V 8.0 HR,2644
ANESTHESIA LEV V 8.5 HR,2807
ANESTHESIA LEV V 9.0 HR,2970
ANESTHESIA LEV V 9.5 HR,3133
ANESTHESIA LEV VI 0.5 HR,207
ANESTHESIA LEV VI 1.0 HR,388
ANESTHESIA LEV VI 1.5 HR,568
ANESTHESIA LEV VI 10.0 HR,3632
ANESTHESIA LEV VI 10.5 HR,3812
ANESTHESIA LEV VI 11.0 HR,3992
ANESTHESIA LEV VI 11.5 HR,4172
ANESTHESIA LEV VI 12.0 HR,4352
ANESTHESIA LEV VI 12.5 HR,4532
ANESTHESIA LEV VI 13.0 HR,4712
ANESTHESIA LEV VI 13.5 HR,4892
ANESTHESIA LEV VI 14.0 HR,5072
ANESTHESIA LEV VI 14.5 HR,5252
ANESTHESIA LEV VI 15.0 HR,5432
ANESTHESIA LEV VI 15.5 HR,5612
ANESTHESIA LEV VI 16.0 HR,5792
ANESTHESIA LEV VI 16.5 HR,5972
ANESTHESIA LEV VI 17.0 HR,6152
ANESTHESIA LEV VI 17.5 HR,6332
ANESTHESIA LEV VI 18.0 HR,6512
ANESTHESIA LEV VI 18.5 HR,6692
ANESTHESIA LEV VI 19.0 HR,6872
ANESTHESIA LEV VI 19.5 HR,7052
ANESTHESIA LEV VI 2.0 HR,749
ANESTHESIA LEV VI 2.5 HR,929
ANESTHESIA LEV VI 20.0 HR,7232
ANESTHESIA LEV VI 3.0 HR,1109
ANESTHESIA LEV VI 3.5 HR,1290
ANESTHESIA LEV VI 4.0 HR,1470
ANESTHESIA LEV VI 4.5 HR,1650
ANESTHESIA LEV VI 5.0 HR,1831
ANESTHESIA LEV VI 5.5 HR,2011
ANESTHESIA LEV VI 6.0 HR,2192
ANESTHESIA LEV VI 6.5 HR,2372
ANESTHESIA LEV VI 7.0 HR,2552
ANESTHESIA LEV VI 7.5 HR,2732
ANESTHESIA LEV VI 8.0 HR,2912
ANESTHESIA LEV VI 8.5 HR,3092
ANESTHESIA LEV VI 9.0 HR,3272
ANESTHESIA LEV VI 9.5 HR,3452
ANESTHESIA LEV VII 0.5 HR,228
ANESTHESIA LEV VII 1.0 HR,427
ANESTHESIA LEV VII 1.5 HR,625
ANESTHESIA LEV VII 10.0 HR,3998
ANESTHESIA LEV VII 10.5 HR,4196
ANESTHESIA LEV VII 11.0 HR,4394
ANESTHESIA LEV VII 11.5 HR,4592
ANESTHESIA LEV VII 12.0 HR,4790
ANESTHESIA LEV VII 12.5 HR,4988
ANESTHESIA LEV VII 13.0 HR,5186
ANESTHESIA LEV VII 13.5 HR,5384
ANESTHESIA LEV VII 14.0 HR,5582
ANESTHESIA LEV VII 14.5 HR,5780
ANESTHESIA LEV VII 15.0 HR,5978
ANESTHESIA LEV VII 15.5 HR,6176
ANESTHESIA LEV VII 16.0 HR,6374
ANESTHESIA LEV VII 16.5 HR,6572
ANESTHESIA LEV VII 17.0 HR,6770
ANESTHESIA LEV VII 17.5 HR,6968
ANESTHESIA LEV VII 18.0 HR,7166
ANESTHESIA LEV VII 18.5 HR,7364
ANESTHESIA LEV VII 19.0 HR,7562
ANESTHESIA LEV VII 19.5 HR,7760
ANESTHESIA LEV VII 2.0 HR,823
ANESTHESIA LEV VII 2.5 HR,1022
ANESTHESIA LEV VII 20.0 HR,7958
ANESTHESIA LEV VII 3.0 HR,1220
ANESTHESIA LEV VII 3.5 HR,1419
ANESTHESIA LEV VII 4.0 HR,1617
ANESTHESIA LEV VII 4.5 HR,1815
ANESTHESIA LEV VII 5.0 HR,2014
ANESTHESIA LEV VII 5.5 HR,2212
ANESTHESIA LEV VII 6.0 HR,2411
ANESTHESIA LEV VII 6.5 HR,2609
ANESTHESIA LEV VII 7.0 HR,2808
ANESTHESIA LEV VII 7.5 HR,3006
ANESTHESIA LEV VII 8.0 HR,3204
ANESTHESIA LEV VII 8.5 HR,3403
ANESTHESIA LEV VII 9.0 HR,3601
ANESTHESIA LEV VII 9.5 HR,3800
ANESTHESIA LEV VIII 0.5 HR,251
ANESTHESIA LEV VIII 1.0 HR,469
ANESTHESIA LEV VIII 1.5 HR,688
ANESTHESIA LEV VIII 10.0 HR,4398
ANESTHESIA LEV VIII 10.5 HR,4616
ANESTHESIA LEV VIII 11.0 HR,4834
ANESTHESIA LEV VIII 11.5 HR,5052
ANESTHESIA LEV VIII 12.0 HR,5270
ANESTHESIA LEV VIII 12.5 HR,5488
ANESTHESIA LEV VIII 13.0 HR,5706
ANESTHESIA LEV VIII 13.5 HR,5924
ANESTHESIA LEV VIII 14.0 HR,6142
ANESTHESIA LEV VIII 14.5 HR,6360
ANESTHESIA LEV VIII 15.0 HR,6578
ANESTHESIA LEV VIII 15.5 HR,6796
ANESTHESIA LEV VIII 16.0 HR,7014
ANESTHESIA LEV VIII 16.5 HR,7232
ANESTHESIA LEV VIII 17.0 HR,7450
ANESTHESIA LEV VIII 17.5 HR,7668
ANESTHESIA LEV VIII 18.0 HR,7886
ANESTHESIA LEV VIII 18.5 HR,8104
ANESTHESIA LEV VIII 19.0 HR,8322
ANESTHESIA LEV VIII 19.5 HR,8540
ANESTHESIA LEV VIII 2.0 HR,906
ANESTHESIA LEV VIII 2.5 HR,1124
ANESTHESIA LEV VIII 20.0 HR,8758
ANESTHESIA LEV VIII 3.0 HR,1342
ANESTHESIA LEV VIII 3.5 HR,1561
ANESTHESIA LEV VIII 4.0 HR,1779
ANESTHESIA LEV VIII 4.5 HR,1997
ANESTHESIA LEV VIII 5.0 HR,2215
ANESTHESIA LEV VIII 5.5 HR,2434
ANESTHESIA LEV VIII 6.0 HR,2652
ANESTHESIA LEV VIII 6.5 HR,2870
ANESTHESIA LEV VIII 7.0 HR,3088
ANESTHESIA LEV VIII 7.5 HR,3307
ANESTHESIA LEV VIII 8.0 HR,3525
ANESTHESIA LEV VIII 8.5 HR,3743
ANESTHESIA LEV VIII 9.0 HR,3961
ANESTHESIA LEV VIII 9.5 HR,4180
ANESTHESIA LEV X 0.5 HR,304
ANESTHESIA LEV X 1.0 HR,568
ANESTHESIA LEV X 1.5 HR,832
ANESTHESIA LEV X 10.0 HR,5321
ANESTHESIA LEV X 10.5 HR,5585
ANESTHESIA LEV X 11.0 HR,5849
ANESTHESIA LEV X 11.5 HR,6113
ANESTHESIA LEV X 12.0 HR,6377
ANESTHESIA LEV X 12.5 HR,6641
ANESTHESIA LEV X 13.0 HR,6905
ANESTHESIA LEV X 13.5 HR,7169
ANESTHESIA LEV X 14.0 HR,7433
ANESTHESIA LEV X 14.5 HR,7697
ANESTHESIA LEV X 15.0 HR,7961
ANESTHESIA LEV X 15.5 HR,8225
ANESTHESIA LEV X 16.0 HR,8489
ANESTHESIA LEV X 16.5 HR,8753
ANESTHESIA LEV X 17.0 HR,9017
ANESTHESIA LEV X 17.5 HR,9281
ANESTHESIA LEV X 18.0 HR,9545
ANESTHESIA LEV X 18.5 HR,9809
ANESTHESIA LEV X 19.0 HR,10073
ANESTHESIA LEV X 19.5 HR,10337
ANESTHESIA LEV X 2.0 HR,1096
ANESTHESIA LEV X 2.5 HR,1360
ANESTHESIA LEV X 20.0 HR,10601
ANESTHESIA LEV X 3.0 HR,1624
ANESTHESIA LEV X 3.5 HR,1888
ANESTHESIA LEV X 4.0 HR,2152
ANESTHESIA LEV X 4.5 HR,2416
ANESTHESIA LEV X 5.0 HR,2681
ANESTHESIA LEV X 5.5 HR,2945
ANESTHESIA LEV X 6.0 HR,3209
ANESTHESIA LEV X 6.5 HR,3473
ANESTHESIA LEV X 7.0 HR,3737
ANESTHESIA LEV X 7.5 HR,4001
ANESTHESIA LEV X 8.0 HR,4265
ANESTHESIA LEV X 8.5 HR,4529
ANESTHESIA LEV X 9.0 HR,4793
ANESTHESIA LEV X 9.5 HR,5057
ANG PULMONARY BILAT SELEC,10563
ANGIO  EXT BILAT,4092
ANGIO  PELVIC- SELECT OR,5760
ANGIO ABD AORT BI/RUN LT S/I,7327.83
ANGIO ABDOMINAL AORT LTD S/I,1127.36
ANGIO ADRENAL UNILAT LT,7436
ANGIO ADRENAL UNILAT RT,7436
ANGIO EXTREMITY LT LTD S/I,3016.05
ANGIO EXTREMITY RIGHT,4092
ANGIO EXTREMITY RT LTD S/I,3016.05
ANGIO EXTREMITY-LEFT,4092
ANGIO PULM-BY NONSELECT C,10563
ANGIO PULMONARY  SEL LEFT,10563
ANGIO PULMONARY SEL RIGHT,10563
ANGIO SEL EACH ADD VESSEL,1260
ANGIO SPINAL SEL LTD S/I,3264.94
ANGIO TENSIN CONVERTING ENZYME,57.05
ANGIO THOR AORT +SER LTD S/I,4297.14
ANGIO/VISCERAL FLUSH,4092
ANGIOGRAPHY  ADRENAL  BIL,10247
ANGIOGRAPHY  INTERNAL MAM,10563
ANGIOGRAPHY  SPINAL  SELE,10247
ANGIOTENSIN CONVERTING ENZYME CSF,57.05
ANKLE AP & LAT LEFT,477
ANKLE AP & LAT RIGHT,477
ANKLE ROUTINE LT MIN 3V,634
ANKLE ROUTINE MIN 3V RT,634
ANTBDY COXIELLA BURNETII Q FEVER,57.05
ANTEGRADE UROGRAM,699
ANTIBODY  BORDETELLA,85.58
ANTIBODY  COXIELLA BURNETII Q FEV,57.05
ANTIBODY  HISTOPLASMA,21.48
ANTIBODY  HIV-2,37.8
ANTIBODY  INFLUENZA VIRUS,23.29
ANTIBODY  NEISSERIA MENINGITIDIS,63
ANTIBODY DETECTION NOS IF,42
ANTIBODY HELICOBACTER PYLORI,57.05
ANTIBODY HIV-1,34.78
ANTIBODY ID  PLATELET ANTIBDY,28.78
ANTIBODY ID  PLATELET ANTIBDY,28.78
ANTIBODY ID PANEL EA,202.37
ANTIBODY SCREEN ARC EACH,106
ANTIBODY SCREEN EA,106
ANTICHROMATIN ANTIBODIES,65.56
ANTI-DSDNA ANTIBODIES,46.29
ANTIGLIADIN(2OF2) IGA,48.04
ANTIGLOM BASEMENT MEMBRAN,48.04
ANTI-HU ABS (WESTERN BLOT),28.78
ANTI-IGE RECEPTOR ANTIBODY,154.52
ANTI-MULLERIAN HORMONE (AMH),52.55
ANTINEUTROPHIL CYTOPLASMIC AB,28.78
ANTINUCLEAR ANTIBODIES IFA,47.04
ANTIPARIETAL CELL ANTIBODY,37.53
ANTIPROTEINASE 3 (PR-3) ABS,48.04
ANTI-THROMBIN III,28.78
ANTI-YO ANTIBODIES,28.78
AORTOG/ABD SERIAL COMPLET,4092
AORTOGRAPHY BILAT ILIOFEM,4092
AORTOGRAPHY THORACIC SERI,8444
AORTOGRAPY THRC W/O SRLOGRAPY,8444
APHASIA EVALUATION PER HR,704
APHASIA EVALUATION PER HR,704
APHERESIS PLATELETS,4039.2
APHERESIS RBC,4039.2
APHERESIS WBC,4039.2
APLIGRAF P/SQ CM,168
APOLIPOPROTEIN EVALUATION,57.3
APOLIPPROTEIN B,57.3
APP FING SPLT DYNAMIC LT,605
APP FING SPLT DYNAMIC LT,290
APP FING SPLT DYNAMIC RT,605
APP FING SPLT DYNAMIC RT,290
APP FING SPLT STATIC LT,605
APP FING SPLT STATIC LT,290
APP FING SPLT STATIC RG,290
APP FING SPLT STATIC RT,605
APP SHORT ARM SPLT DYNAM LT,605
APP SHORT ARM SPLT DYNAM RT,605
