Abington Jefferson Health,,,,
Abington Lansdale Hospital,,,,
FY18 Charges by DRG,,,,
,,,,
,,,,
MSDRG,Description,Cases,Charges,Avg Charge
283,ACUTE MYOCARDIAL INFARCTION EXPIRED W MCC,1,"39,457","39,457"
287,CIRCULATORY DISORDERS EXCEPT AMI W CARD CATH W/O MCC,1,"44,566","44,566"
291,HEART FAILURE  SHOCK W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),191,"5,576,255","29,195"
292,HEART FAILURE  SHOCK W CC,79,"1,593,583","20,172"
293,HEART FAILURE  SHOCK W/O CC/MCC,18,"276,564","15,365"
294,DEEP VEIN THROMBOPHLEBITIS W CC/MCC,2,"21,093","10,546"
296,CARDIAC ARREST UNEXPLAINED W MCC OR PERIPHERAL EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO),4,"154,161","38,540"
299,PERIPHERAL VASCULAR DISORDERS W MCC,6,"135,920","22,653"
300,PERIPHERAL VASCULAR DISORDERS W CC,22,"424,076","19,276"
301,PERIPHERAL VASCULAR DISORDERS W/O CC/MCC,11,"157,361","14,306"
303,ATHEROSCLEROSIS W/O MCC,7,"107,380","15,340"
304,HYPERTENSION W MCC,9,"248,544","27,616"
305,HYPERTENSION W/O MCC,17,"257,505","15,147"
306,CARDIAC CONGENITAL  VALVULAR DISORDERS W MCC,3,"127,177","42,392"
307,CARDIAC CONGENITAL  VALVULAR DISORDERS W/O MCC,1,"19,736","19,736"
308,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W MCC,63,"2,007,320","31,862"
309,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W CC,81,"1,455,410","17,968"
310,CARDIAC ARRHYTHMIA  CONDUCTION DISORDERS W/O CC/MCC,46,"603,824","13,127"
311,ANGINA PECTORIS,15,"268,585","17,906"
312,SYNCOPE  COLLAPSE,52,"951,700","18,302"
313,CHEST PAIN,34,"552,703","16,256"
314,OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC,14,"619,104","44,222"
315,OTHER CIRCULATORY SYSTEM DIAGNOSES W CC,16,"326,823","20,426"
316,OTHER CIRCULATORY SYSTEM DIAGNOSES W/O CC/MCC,5,"69,689","13,938"
327,STOMACH ESOPHAGEAL  DUODENAL PROC W CC,1,"28,224","28,224"
329,MAJOR SMALL  LARGE BOWEL PROCEDURES W MCC,18,"1,471,821","81,768"
330,MAJOR SMALL  LARGE BOWEL PROCEDURES W CC,33,"2,254,008","68,303"
331,MAJOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC,10,"380,369","38,037"
333,RECTAL RESECTION W CC,1,"26,241","26,241"
335,PERITONEAL ADHESIOLYSIS W MCC,3,"350,747","116,916"
336,PERITONEAL ADHESIOLYSIS W CC,1,"36,298","36,298"
339,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W CC,14,"471,902","33,707"
340,APPENDECTOMY W COMPLICATED PRINCIPAL DIAG W/O CC/MCC,8,"289,145","36,143"
341, APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W MCC,2,"60,615","30,307"
342,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W CC,12,"363,529","30,294"
343,APPENDECTOMY W/O COMPLICATED PRINCIPAL DIAG W/O CC/MCC,36,"953,012","26,473"
344,MINOR SMALL  LARGE BOWEL PROCEDURES W MCC,2,"151,858","75,929"
345,MINOR SMALL  LARGE BOWEL PROCEDURES W CC,1,"58,176","58,176"
346,MINOR SMALL  LARGE BOWEL PROCEDURES W/O CC/MCC,1,"18,304","18,304"
348,ANAL  STOMAL PROCEDURES W CC,1,"17,754","17,754"
349,ANAL  STOMAL PROCEDURES W/O CC/MCC,1,"16,694","16,694"
351,INGUINAL  FEMORAL HERNIA PROCEDURES W CC,3,"92,562","30,854"
352,INGUINAL  FEMORAL HERNIA PROCEDURES W/O CC/MCC,2,"63,905","31,953"
354,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W CC,3,"82,355","27,452"
355,HERNIA PROCEDURES EXCEPT INGUINAL  FEMORAL W/O CC/MCC,1,"26,068","26,068"
356,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W MCC,2,"67,654","33,827"
357,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W CC,4,"138,424","34,606"
358,OTHER DIGESTIVE SYSTEM O.R. PROCEDURES W/O CC/MCC,1,"30,589","30,589"
368,MAJOR ESOPHAGEAL DISORDERS W MCC,2,"71,683","35,841"
369,MAJOR ESOPHAGEAL DISORDERS W CC,2,"61,515","30,757"
371,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W MCC,6,"224,757","37,459"
372,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W CC,15,"448,775","29,918"
373,MAJOR GASTROINTESTINAL DISORDERS  PERITONEAL INFECTIONS W/O CC/MCC,4,"60,095","15,024"
374,DIGESTIVE MALIGNANCY W MCC,6,"176,862","29,477"
375,DIGESTIVE MALIGNANCY W CC,4,"70,432","17,608"
377,G.I. HEMORRHAGE W MCC,27,"1,100,940","40,776"
378,G.I. HEMORRHAGE W CC,96,"2,741,058","28,553"
379,G.I. HEMORRHAGE W/O CC/MCC,17,"221,373","13,022"
380,COMPLICATED PEPTIC ULCER W MCC,1,"47,649","47,649"
381,COMPLICATED PEPTIC ULCER W CC,10,"230,197","23,020"
383,UNCOMPLICATED PEPTIC ULCER W MCC,1,"15,388","15,388"
384,UNCOMPLICATED PEPTIC ULCER W/O MCC,2,"44,609","22,305"
385,INFLAMMATORY BOWEL DISEASE W MCC,3,"107,899","35,966"
386,INFLAMMATORY BOWEL DISEASE W CC,15,"331,517","22,101"
387,INFLAMMATORY BOWEL DISEASE W/O CC/MCC,3,"30,409","10,136"
388,G.I. OBSTRUCTION W MCC,6,"178,398","29,733"
389,G.I. OBSTRUCTION W CC,34,"805,300","23,685"
390,G.I. OBSTRUCTION W/O CC/MCC,34,"630,121","18,533"
391,ESOPHAGITIS GASTROENT  MISC DIGEST DISORDERS W MCC,21,"462,236","22,011"
392,ESOPHAGITIS GASTROENT  MISC DIGEST DISORDERS W/O MCC,199,"3,689,265","18,539"
393,OTHER DIGESTIVE SYSTEM DIAGNOSES W MCC,9,"326,233","36,248"
394,OTHER DIGESTIVE SYSTEM DIAGNOSES W CC,27,"588,614","21,801"
395,OTHER DIGESTIVE SYSTEM DIAGNOSES W/O CC/MCC,19,"324,654","17,087"
406,PANCREAS LIVER  SHUNT PROCEDURES W CC,1,"22,000","22,000"
408,BILIARY TRACT PROC EXCEPT ONLY CHOLECYST W OR W/O C.D.E. W MCC,1,"94,637","94,637"
412, CHOLECYSTECTOMY W C.D.E. W CC,1,"28,955","28,955"
414,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W MCC,1,"78,386","78,386"
415,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W CC,1,"66,029","66,029"
416,CHOLECYSTECTOMY EXCEPT BY LAPAROSCOPE W/O C.D.E. W/O CC/MCC,2,"70,513","35,256"
417,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W MCC,26,"1,398,385","53,784"
418,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC,24,"897,623","37,401"
419,LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC,48,"1,446,808","30,142"
423,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W MCC,1,"29,205","29,205"
424,OTHER HEPATOBILIARY OR PANCREAS O.R. PROCEDURES W CC,1,"24,373","24,373"
432,CIRRHOSIS  ALCOHOLIC HEPATITIS W MCC,7,"237,591","33,942"
433,CIRRHOSIS  ALCOHOLIC HEPATITIS W CC,9,"258,353","28,706"
434,CIRRHOSIS  ALCOHOLIC HEPATITIS W/O CC/MCC,3,"73,828","24,609"
435,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W MCC,6,"156,072","26,012"
436,MALIGNANCY OF HEPATOBILIARY SYSTEM OR PANCREAS W CC,8,"204,049","25,506"
438,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W MCC,10,"280,404","28,040"
439,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC,20,"404,984","20,249"
440,DISORDERS OF PANCREAS EXCEPT MALIGNANCY W/O CC/MCC,15,"250,631","16,709"
441,DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA W MCC,16,"557,276","34,830"
442,DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA W CC,12,"318,261","26,522"
443,DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA W/O CC/MCC,5,"77,451","15,490"
444,DISORDERS OF THE BILIARY TRACT W MCC,10,"338,741","33,874"
445,DISORDERS OF THE BILIARY TRACT W CC,10,"288,868","28,887"
446,DISORDERS OF THE BILIARY TRACT W/O CC/MCC,12,"268,628","22,386"
454,COMBINED ANTERIOR/POSTERIOR SPINAL FUSION W CC,1,"49,212","49,212"
458,SPINAL FUS EXC CERV W SPINAL CURV/MALIG/INFEC OR EXT FUS W/O CC/MCC,1,"33,551","33,551"
459,SPINAL FUSION EXCEPT CERVICAL W MCC,1,"55,521","55,521"
460,SPINAL FUSION EXCEPT CERVICAL W/O MCC,18,"849,977","47,221"
462,BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY W/O MCC,32,"1,665,025","52,032"
463,WND DEBRID  SKN GRFT EXC HAND FOR MUSCULO-CONN TISS DIS W MCC,4,"357,344","89,336"
464,WND DEBRID  SKN GRFT EXC HAND FOR MUSCULO-CONN TISS DIS W CC,1,"170,014","170,014"
465,WND DEBRID  SKN GRFT EXC HAND FOR MUSCULO-CONN TISS DIS W/O CC/MCC,2,"81,954","40,977"
466,REVISION OF HIP OR KNEE REPLACEMENT W MCC,3,"180,342","60,114"
467,REVISION OF HIP OR KNEE REPLACEMENT W CC,5,"325,675","65,135"
468,REVISION OF HIP OR KNEE REPLACEMENT W/O CC/MCC,17,"914,121","53,772"
469,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC OR TOTAL ANKLE REPLACEMENT,15,"791,715","52,781"
470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC,526,"18,316,891","34,823"
472,CERVICAL SPINAL FUSION W CC,4,"162,709","40,677"
473,CERVICAL SPINAL FUSION W/O CC/MCC,8,"257,971","32,246"
475,AMPUTATION FOR MUSCULOSKELETAL SYS  CONN TISSUE DIS W CC,4,"202,172","50,543"
478,BIOPSIES OF MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W CC,1,"14,224","14,224"
480,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC,19,"1,031,525","54,291"
481,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC,48,"2,107,461","43,905"
482,HIP  FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC,19,"616,053","32,424"
483,MAJOR JOINT/LIMB REATTACHMENT PROCEDURE OF UPPER EXTREMITIES,28,"1,399,023","49,965"
487,KNEE PROCEDURES W PDX OF INFECTION W/O CC/MCC,1,"19,030","19,030"
489,KNEE PROCEDURES W/O PDX OF INFECTION W/O CC/MCC,1,"21,733","21,733"
492,LOWER EXTREM  HUMER PROC EXCEPT HIPFOOTFEMUR W MCC,2,"137,066","68,533"
493,LOWER EXTREM  HUMER PROC EXCEPT HIPFOOTFEMUR W CC,15,"710,194","47,346"
494,LOWER EXTREM  HUMER PROC EXCEPT HIPFOOTFEMUR W/O CC/MCC,16,"571,236","35,702"
496,LOCAL EXCISION  REMOVAL INT FIX DEVICES EXC HIP  FEMUR W CC,1,"24,299","24,299"
500,SOFT TISSUE PROCEDURES W MCC,4,"183,216","45,804"
501,SOFT TISSUE PROCEDURES W CC,9,"276,407","30,712"
502,SOFT TISSUE PROCEDURES W/O CC/MCC,1,"25,519","25,519"
503,FOOT PROCEDURES W MCC,2,"90,480","45,240"
504,FOOT PROCEDURES W CC,6,"195,945","32,657"
505,FOOT PROCEDURES W/O CC/MCC,1,"13,285","13,285"
508,MAJOR SHOULDER OR ELBOW JOINT PROCEDURES W/O CC/MCC,1,"34,993","34,993"
510,SHOULDERELBOW OR FOREARM PROCEXC MAJOR JOINT PROC W MCC,1,"30,066","30,066"
511,SHOULDERELBOW OR FOREARM PROCEXC MAJOR JOINT PROC W CC,2,"51,485","25,742"
513,HAND OR WRIST PROC EXCEPT MAJOR THUMB OR JOINT PROC W CC/MCC,1,"65,533","65,533"
515,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W MCC,1,"32,647","32,647"
516,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W CC,5,"141,757","28,351"
517,OTHER MUSCULOSKELET SYS  CONN TISS O.R. PROC W/O CC/MCC,3,"58,458","19,486"
519,BACK  NECK PROC EXC SPINAL FUSION W CC,3,"58,168","19,389"
533,FRACTURES OF FEMUR W MCC,1,"25,692","25,692"
534,FRACTURES OF FEMUR W/O MCC,4,"51,002","12,751"
535,FRACTURES OF HIP  PELVIS W MCC,5,"104,847","20,969"
536,FRACTURES OF HIP  PELVIS W/O MCC,23,"393,254","17,098"
538," SPRAINS, STRAINS, & DISLOCATIONS OF HIP, PELVIS & THIGH W/O CC/MCC",1,"25,345","25,345"
539,OSTEOMYELITIS W MCC,2,"36,195","18,097"
540,OSTEOMYELITIS W CC,3,"62,553","20,851"
541,OSTEOMYELITIS W/O CC/MCC,1,"10,938","10,938"
543,PATHOLOGICAL FRACTURES  MUSCULOSKELET  CONN TISS MALIG W CC,2,"42,154","21,077"
545,CONNECTIVE TISSUE DISORDERS W MCC,1,"21,344","21,344"
546,CONNECTIVE TISSUE DISORDERS W CC,1,"31,081","31,081"
547,CONNECTIVE TISSUE DISORDERS W/O CC/MCC,1,"21,768","21,768"
549,SEPTIC ARTHRITIS W CC,2,"60,130","30,065"
551,MEDICAL BACK PROBLEMS W MCC,3,"72,366","24,122"
552,MEDICAL BACK PROBLEMS W/O MCC,32,"647,626","20,238"
553,BONE DISEASES  ARTHROPATHIES W MCC,1,"23,264","23,264"
554,BONE DISEASES  ARTHROPATHIES W/O MCC,13,"185,089","14,238"
556,SIGNS  SYMPTOMS OF MUSCULOSKELETAL SYSTEM  CONN TISSUE W/O MCC,6,"94,425","15,738"
557,TENDONITIS MYOSITIS  BURSITIS W MCC,3,"81,756","27,252"
558,TENDONITIS MYOSITIS  BURSITIS W/O MCC,16,"351,682","21,980"
559,AFTERCARE MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W MCC,2,"45,250","22,625"
560,AFTERCARE MUSCULOSKELETAL SYSTEM  CONNECTIVE TISSUE W CC,2,"23,185","11,593"
562,FX SPRN STRN  DISL EXCEPT FEMUR HIP PELVIS  THIGH W MCC,3,"43,565","14,522"
563,FX SPRN STRN  DISL EXCEPT FEMUR HIP PELVIS  THIGH W/O MCC,16,"332,214","20,763"
564,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W MCC,2,"65,780","32,890"
565,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W CC,6,"104,037","17,339"
566,OTHER MUSCULOSKELETAL SYS  CONNECTIVE TISSUE DIAGNOSES W/O CC/MCC,3,"52,641","17,547"
570,SKIN DEBRIDEMENT W MCC,4,"142,923","35,731"
571,SKIN DEBRIDEMENT W CC,6,"167,040","27,840"
572,SKIN DEBRIDEMENT W/O CC/MCC,3,"57,915","19,305"
579,OTHER SKIN SUBCUT TISS  BREAST PROC W MCC,2,"137,406","68,703"
580,OTHER SKIN SUBCUT TISS  BREAST PROC W CC,15,"651,449","43,430"
581,OTHER SKIN SUBCUT TISS  BREAST PROC W/O CC/MCC,12,"356,295","29,691"
582,MASTECTOMY FOR MALIGNANCY W CC/MCC,3,"70,121","23,374"
585,BREAST BIOPSY LOCAL EXCISION  OTHER BREAST PROCEDURES W/O CC/MCC,1,"34,086","34,086"
593,SKIN ULCERS W CC,1,"24,553","24,553"
596,MAJOR SKIN DISORDERS W/O MCC,2,"22,517","11,258"
600,NON-MALIGNANT BREAST DISORDERS W CC/MCC,1,"16,239","16,239"
602,CELLULITIS W MCC,21,"684,514","32,596"
603,CELLULITIS W/O MCC,123,"2,152,114","17,497"
605,TRAUMA TO THE SKIN SUBCUT TISS  BREAST W/O MCC,10,"183,734","18,373"
606,MINOR SKIN DISORDERS W MCC,1,"39,615","39,615"
607,MINOR SKIN DISORDERS W/O MCC,3,"54,971","18,324"
616,AMPUTAT OF LOWER LIMB FOR ENDOCRINENUTRIT METABOL DIS W MCC,1,"71,834","71,834"
617,AMPUTAT OF LOWER LIMB FOR ENDOCRINENUTRIT METABOL DIS W CC,16,"738,502","46,156"
622,SKIN GRAFTS  WOUND DEBRID FOR ENDOC NUTRIT  METAB DIS W MCC,2,"145,452","72,726"
623,SKIN GRAFTS  WOUND DEBRID FOR ENDOC NUTRIT  METAB DIS W CC,6,"235,911","39,318"
628,OTHER ENDOCRINE NUTRIT  METAB O.R. PROC W MCC,1,"43,266","43,266"
629,OTHER ENDOCRINE NUTRIT  METAB O.R. PROC W CC,2,"100,946","50,473"
637,DIABETES W MCC,29,"994,573","34,296"
638,DIABETES W CC,53,"1,123,679","21,201"
639,DIABETES W/O CC/MCC,18,"266,652","14,814"
640,MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W MCC,26,"764,097","29,388"
641,MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES W/O MCC,64,"1,047,159","16,362"
644,ENDOCRINE DISORDERS W CC,9,"179,013","19,890"
645,ENDOCRINE DISORDERS W/O CC/MCC,7,"125,018","17,860"
660,KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W CC,2,"91,645","45,822"
661,KIDNEY  URETER PROCEDURES FOR NON-NEOPLASM W/O CC/MCC,1,"21,281","21,281"
668,TRANSURETHRAL PROCEDURES W MCC,2,"46,086","23,043"
669,TRANSURETHRAL PROCEDURES W CC,7,"156,124","22,303"
670,TRANSURETHRAL PROCEDURES W/O CC/MCC,1,"23,730","23,730"
