Description,Price
KNEE 4 OR MORE V,$570.00 
TIBIA AND FIBULA RT 2V,$420.00 
ANKLE 2 V,$344.00 
ANKLE COMPLETE MIN 3V,$435.00 
FOOT 2 V,$347.00 
FOOT COMPLETE MIN 3V,$427.00 
CALCANEUS,$358.00 
TOE 1 DIGIT,$327.00 
CT LOW EXT WO,"$2,114.00 "
CT LOW EXT W CON,"$2,287.00 "
MRI LOW EXT WO,"$3,813.00 "
MRI LOW EXT W/WO,"$4,916.00 "
MRI LOW EXT JT WO,"$3,757.00 "
MRI LOW EXT JT W CON,"$3,763.00 "
MRI LOW EXT JT W/WO,"$5,185.00 "
MRA LOW EXT W W/O,"$2,031.00 "
ABDOMEN 1 V,$393.00 
ABDOMEN 2 V,$555.00 
ABDOMEN 3 V,$529.00 
CT ABD WO,"$2,680.00 "
CT ABDOMEN W CON,"$3,448.00 "
CT ABDOMEN W/WO,"$3,837.00 "
CTA ABD/PEL W/WO CONTRAST,"$5,164.00 "
CTA ABDOMEN W/WO,"$3,991.00 "
CT ABD/PELVIS W/O,"$4,706.00 "
CT KIDNEY STONE PROTOCOL,"$4,706.00 "
CT ABD/PELVIS W,"$5,285.00 "
CT ABD W/WO/PELVIS W,"$6,847.00 "
CT IVP,"$6,536.00 "
CT ABD/PELVIS W/WO,"$5,682.00 "
MRI ABDOMEN WO,"$3,752.00 "
MRI CHOLANGIOGRAM W/O CONTRAST,"$3,752.00 "
MRI ABDOMEN W/WO,"$5,327.00 "
MRA ABD W/WO,"$3,102.00 "
MRA ABD WO CON,"$3,102.00 "
ESOPHAGUS,$707.00 
ORAL PHARYNGEAL STUDY,$802.00 
UPPER GI WO KUB,$936.00 
UPPER GI W/KUB,"$1,008.00 "
UPPER GI/SM BOWEL,"$1,395.00 "
UPPER GI W/AIR WO KUB,"$1,007.00 "
UPPER GI W/AIRW/KUB,"$1,115.00 "
UPPER GIW/AIRW/SBS,"$1,467.00 "
COLON W OR W/O KUB,"$1,011.00 "
COLON AIR CONTRAST,"$1,271.00 "
COLON THERAPEUTIC (GASTROVIEW),"$1,084.00 "
CHOLANG IN OR,$962.00 
RETROGRADE UROGRAPHY,"$1,081.00 "
CYSTOGRAM MIN 3V,$898.00 
VCUG,$881.00 
HYSTEROSALPINGOGRAM,$988.00 
CTA AORTO-ILIOFEMORAL RUNOFF,"$3,993.00 "
CHEST FLUOROSCOPY,$624.00 
INFANT BODYGRAM/FB 1 VIEW (5WKS TO 12M),$371.00 
SINOGRAM,$912.00 
MM SURGICAL SPECIMEN LT,$654.00 
US ECHOENCEPHALOGRAM 76506,"$1,017.00 "
US THYROID SONOGRAM 76536,$896.00 
US CHEST 76604,$771.00 
US BREAST LIMITED 76642,$691.00 
US ABDOMEN COMPLETE 76700,"$1,290.00 "
US ABDOMEN LMTD 76705,$948.00 
US ABD AORTA SCREENING 76706,"$1,055.00 "
US RENAL/AORTA COMP 76770,"$1,055.00 "
US KIDNEY/AORTA LMTD 76775,$924.00 
US SPINAL CANAL CONTENTS 76800,$569.00 
US OB PREG LESS 14 WEEKSFIRST GESTATION,$848.00 
US OB PREG GR OR EQUAL 14 WKS FIRST GEST,"$1,003.00 "
SONOGRAM,$620.00 
US OB TRANSVAG 76817,$732.00 
US TRANSVAG GYNE 76830,$887.00 
US PELVIC/TRANSVAGINAL 76856/76830,"$1,069.00 "
US BLADDER 76857,$803.00 
US SCROTUM 76870/93976,$948.00 
US EXT NON VASC/SOFT TISSUE 76882,$577.00 
US INFANT HIPS 76885,$987.00 
ANES ULTRASOUND GUIDANCE,"$1,067.00 "
US GUIDANCE ONLY 76942,"$1,056.00 "
US INTRAOPERATIVE 76998,"$1,056.00 "
FLUORO GUIDANCE NEEDLE PLACEMENT,$887.00 
"MM DUCTOGRAM OR GALACTOGRAM, SINGLE D",$797.00 
MM SCREENING BILAT TOMO HD,$85.00 
MM DIGITAL DIAGNOSTIC UNILAT,$501.00 
MM DIGITAL DIAGNOSTIC BILAT,$611.00 
MM DIGITAL SCREENING BILAT,$453.00 
BONE AGE STUDIES,$483.00 
BONE SURVEY COMPLETE,"$1,130.00 "
DEXA SCAN AXIAL,$649.00 
NM THYROID W/UPTAKE,"$1,458.00 "
NM PARATHYROID W/SPECT CT,"$2,406.00 "
NM SENTINEL NODE,"$2,052.00 "
NM HIDA W OR WO CCK,"$2,151.00 "
NM GASTRIC EMPTY STUDY,"$2,043.00 "
NM BONE WHOLE BODY,"$2,210.00 "
NM BONE IMAGE 3 PHASE,"$2,282.00 "
NM MYOCARD MULT REST/STRESS,"$4,576.00 "
NM MUGA ROUTINE,"$2,165.00 "
NM VQ PERFUSION ONLY,"$1,793.00 "
NM VQ SCAN-VENT & PERF IMAGING,"$2,419.00 "
NM RENOGRAM W/LASIX 78708,"$2,148.00 "
NM OCTREOTIDE SCAN,"$3,779.00 "
NM WBC/INDIUM LIMITED,"$1,788.00 "
NM SPECT,"$2,507.00 "
BASIC METABOLIC PROFILE,$215.00 
BMP FREQUENCY,$215.00 
CHARGE GENERAL HEALTH PANEL,$411.00 
ELECTROLYTE PANEL,$150.00 
COMPREHENSIVE METABOLIC PANEL,$279.00 
LIPID PROFILE W/ LDL-DIRECT,$197.00 
LIPID PROFILE W/CALCULATED LDL,$184.00 
RENAL FUNCTION PANEL,$207.00 
ACUTE HEPATITIS PANEL,$507.00 
HEPATIC FUNCTION PANEL,$199.00 
CHARGE OB PANEL W/HIV,$342.00 
AMIKACIN PEAK,$118.00 
AMIKACIN TROUGH,$118.00 
TEGRETOL,$225.00 
CYCLOSPORINE,$254.00 
DIGOXIN LEVEL,$193.00 
VALPROIC ACID,$214.00 
ETHOSUXIMIDE,$324.00 
EVEROLIMUS,$232.00 
GENTAMICIN,$252.00 
LEVETIRACETAM,$175.00 
LITHIUM SERUM,$126.00 
PHENOBARBITAL,$226.00 
DILANTIN,$207.00 
PRIMIDONE MYSOLINE,$326.00 
SIROLIMUS,$285.00 
TACROLIMUS,$282.00 
THEOPHYLLINE,$199.00 
TOBRAMYCIN,$225.00 
TOPIRAMATE (TOPOMAX),$236.00 
VANCOMYCIN,$259.00 
ZONISAMIDE,$327.00 
LACOSAMIDE,$286.00 
MYCOPHENOLIC ACID,$171.00 
TRILEPTAL/OXCARBAZEPINE,$169.00 
ITRACONAZOLE,$125.00 
NICOTINE/COTININE UR,$80.00 
ALMH DOT MTOX,$57.00 
MEDTOX URINE DRUG SCREEN,"$1,286.00 "
DRUG SCREEN (CORD),"$1,408.00 "
DRUG ABUSE SCREEN-MMC,$624.00 
ACETAMINOPHEN,$313.00 
"URINE DRUG SCREEN, ARCHITECT",$310.00 
MECONIUM DRUG SCREEN,$203.00 
SALICYLATE,$198.00 
ALCOHOL BLOOD,$164.00 
DRUG SCREEN 9 ARUP,$136.00 
"TRICYCLIC ANTIDEPRESSANTS, QUAL",$114.00 
IN HOUSE DRUG SCREEN WITH REFLEX,$27.00 
VOLATILES (MEOH),$191.00 
AMPHETAMINE CONFIRMATION,$207.00 
FELBAMATE/FELBATOL,$90.00 
FLUPHENAZINE,$130.00 
DRUG CONFIRMATION-BENZO,$181.00 
"BUPRENORPHINE, QT URINE",$294.00 
"BUPRENORPHINE, SERUM/PLASMA",$95.00 
CANNABINOIDS CONFIRMATION,$209.00 
THC CONFIRMATION,$181.00 
FENTANYL & METABOLITES,$211.00 
"GABAPENTIN, URINE",$68.00 
METHADONE & METABOLITES CONFIRMATION,$200.00 
METHYLPHENIDATE,$116.00 
OPIATES CONFIRMATION,$200.00 
OXYCODONE CONFIRMATION,$79.00 
"TRAMADOL, URINE",$189.00 
URINE DIPSTICK,$14.00 
URINALYSIS W/MICRO,$101.00 
URINALYSIS W/O MICRO,$47.00 
"INDICANS, QUAL UR",$54.00 
URINE EOSINOPHIL,$73.00 
URINE VOLUME MEASURE,$41.00 
BCR-ABL1 MAJOR P210 QUANT,$589.00 
CHROMOSOME MICROARRAY SNP,"$2,650.00 "
PROTHROMBIN GENE MUTATION,$425.00 
FACTOR V LEIDEN,$425.00 
FRAGILE X DNA,$525.00 
"JAK2 GENE, V617F MUTATION",$678.00 
FBN1 GENETIC TESTING,"$1,340.00 "
FBN1 GENETIC TESTING ADD.,$526.00 
MLH1 PROMOTER METHYLATION,$522.00 
"KETONES,BETA blood",$91.00 
"ACYLCARNITINES, QUANT",$309.00 
ACTH,$259.00 
ALBUMIN,$82.00 
"ALBUMIN, CSF",$63.00 
MICROALBUMIN URINE,$118.00 
ALCOHOL BREATH,$47.00 
ALDOSTERONE SERUM,$796.00 
ALPHA 1 ANTITRYPSIN-A1AG,$165.00 
ALPHA 1 ANTITRYPSIN TOTAL,$111.00 
ALPHA-1-ANTITRYPSIN PHENOTYPE,$207.00 
AFP (ALPHA FETOPROTEIN),$329.00 
AMINO ACIDS PLASMA 2 TO 5  QUANT,$502.00 
AMINO ACIDS URINE,$330.00 
"AMINO ACIDS 6 OR MORE, PLASMA",$351.00 
AMMONIA,$211.00 
AMYLASE,$156.00 
CSF ACE,$151.00 
ANGIOTENSIN CONV ENZ,$148.00 
FIBROSURE-APOLIPORPROTEIN,$68.00 
ARSENIC,$157.00 
NEO TOTAL BILI,$91.00 
TOTAL BILIRUBIN,$91.00 
FIBROSURE-TBIL,$62.00 
DIRECT BILIRUBIN,$69.00 
OCCULT BLOOD GASTRIC,$67.00 
"OCC.BLD,DIAG-PEROX,FECAL",$67.00 
OCC  BLD DIAG-IMMUNO FECAL,$114.00 
CADMIUM,$139.00 
ERGOCALCIFEROL LEVEL,$267.00 
VITAMIN D 25 HYDROXY,$237.00 
CALCIUM,$105.00 
IONIZED CALCIUM,$164.00 
URINE CALCIUM 24HR,$166.00 
"CALCIUM, URINE QUANT.",$116.00 
STONE ANALYSIS,$211.00 
CO2,$100.00 
CARBOXYHEMOGLOBIN,$116.00 
CEA,$233.00 
"CARNITINE, FREE AND TOTAL, URINE",$229.00 
"CARNITINE, SERUM",$208.00 
"CATECHOLAMINE, URINE",$339.00 
CATECHOL FRACTION PLASMA,$493.00 
CERULOPLASMIN,$110.00 
IGF BINDING PROTEIN-3,$283.00 
URINE CHLORIDE,$102.00 
"CHROMIUM, SERUM",$178.00 
.SRP UR CITRATE,$29.00 
"N-TELOPEPTIDE, URINE",$322.00 
COLLAGEN TYPE 1 C TELOPEPTIDE,$222.00 
COPPER LEVEL,$153.00 
"CORTISOL, FREE URINE",$169.00 
CORTISOL SERUM TOTAL,$202.00 
CORTISOL-BASELINE,$202.00 
LAMOTRIGINE,$502.00 
CPK WITH REFLEX,$127.00 
CKMB,$232.00 
CREATININE,$69.00 
RANDOM UR CREATININE,$105.00 
CREATININE CLEARANCE,$187.00 
CRYOGLOBULIN QUAL W/REFLEX,$102.00 
VITAMIN B12 LEVEL,$142.00 
DHEA-S,$301.00 
VITAMIN D 1-25 DIHYDROXY,$751.00 
TPMT (RBC),$412.00 
ERYTHROPOIETIN,$370.00 
ESTRADIOL,$342.00 
"ESTROGENS, FRACTIONATED",$131.00 
ESTROGEN TOTAL,$618.00 
ETHYLENE GLYCOL,$193.00 
FAT QUALITATIVE-STOOL,$60.00 
FERRITIN,$184.00 
FOLATE,$181.00 
FOLATE LEVEL RBC,$275.00 
IGA,$184.00 
IGM,$184.00 
CSF IMMUNOGLOBULIN IGG,$125.00 
IGG,$121.00 
IGE,$325.00 
IGG SUBCLASSES,$285.00 
CORD BLOOD GAS,$387.00 
I-STAT CAPILLARY BLOOD GAS,$354.00 
BLOOD GAS,$364.00 
BODY FLUID GLUCOSE,$148.00 
GLUCOSE,$62.00 
GLUCOSE POCT,$50.00 
GLUCOSE 1 HR PP,$95.00 
GTT 3 SPECIMENS,$254.00 
GTT ADD'L HR,$79.00 
G6PD,$193.00 
BLOOD GLUCOSE GLUCOMETER,$49.00 
GGT,$109.00 
FIBROSURE-GGT,$62.00 
FRUCTOSAMINE,$252.00 
FSH,$212.00 
LH,$212.00 
HAPTOGLOBIN QUANT,$249.00 
FIBROSURE-HAPTOGLOBIN,$62.00 
H PYLORI BREATH TEST,$356.00 
"COBALT, SERUM",$211.00 
HBA1C,$139.00 
MMC HOMOCYSTEINE,$261.00 
5-HIAA 24HR URINE,$254.00 
HYDROXY-PROGEST 17,$184.00 
CENTROMERE ANTIBODY,$212.00 
"TISSUE TRANSGLUTAMINASE, IGG",$186.00 
GLIADIN IgA,$164.00 
GLIADIN IGG,$164.00 
TISSUE TRANSGLUTAMINASE AB IGA,$164.00 
"SERINE PROTEASES, IGG",$148.00 
BULLOUS PEMPHIGOLD,$135.00 
"RNA POLYMERASE III AB, IGG",$129.00 
THYROTROPIN INHIBITORY ASSAY,$581.00 
PARATHYROID HORMONE-RELATED PEPTIDE,$348.00 
TBII TSH RECEPTOR ANTIBODY,$178.00 
LEPTIN,$393.00 
TSH RECEPTOR ANTIBODY,$228.00 
ANTI-MULLERIAN HORMONE,$196.00 
INTERLEUKIN BETA 1,$180.00 
INSULIN SERUM TOTAL,$139.00 
IRON,$131.00 
IRON/IRON STUDY,$74.00 
IRON STUDY (CHF),$118.00 
LACTIC ACID,$159.00 
"LDH, BODY FLUID",$90.00 
FECAL LACTOFERRIN,$148.00 
LEAD LEVEL,$122.00 
LIPASE,$166.00 
HDL,$109.00 
LDL DIRECT,$105.00 
MAGNESIUM LEVEL,$116.00 
URINE MAGNESIUM,$116.00 
SRP MAGNESIUM,$29.00 
"BILE ACIDS, TOTAL AND FRACTIONATED",$328.00 
"MERCURY, UR",$145.00 
METANEPHRINES,$270.00 
MYELIN BASIC PROTEIN CSF,$155.00 
MYOGLOBIN,$236.00 
"MYELOPEROXIDASE AB, IgG",$166.00 
BN PEPTIDE,$328.00 
BNP DAILY,$328.00 
BN PEPTIDE (CHF),$313.00 
FREE KAPPA LIGHT CHAINS,$181.00 
FREE LAMBDA LIGHT CHAINS,$181.00 
FIBROSURE-A2MACROGLOBULIN,$62.00 
OLIGOCLONAL BANDS,$395.00 
ORGANIC ACID URINE,$560.00 
METHYLMALONIC ACID,$211.00 
"OSMOLALITY, BLOOD",$128.00 
URINE OSMOLALITY,$191.00 
SRP OXALATE,$29.00 
PTH,$347.00 
PH BODY FLUID,$73.00 
SRP PH,$29.00 
FECAL CALPROTECTIN,$400.00 
NEONATAL SCREENING,$174.00 
ALKALINE PHOSPHATASE,$105.00 
ALKALINE PHOS ISOENZYMES,$291.00 
PHOSPHORUS,$75.00 
URINE PHOSPHORUS,$113.00 
ACTIM PROM,$277.00 
POTASSIUM,$65.00 
RANDOM UR POTASSIUM,$94.00 
SRP UR POTASSIUM,$29.00 
PREALBUMIN,$153.00 
PROGESTERONE,$209.00 
PROCALCITONIN,$299.00 
PROLACTIN,$243.00 
"PSA, TOTAL (DIAGNOSTIC)",$193.00 
TOTAL PROTEIN,$85.00 
RANDOM UR T PROTEIN,$75.00 
URINE PROTEIN 24HR,$75.00 
BODY FLUID PROTEIN,$75.00 
PROTEIN ELECTROPHORESIS SERUM,$187.00 
CSF PROTEIN ELECTROPHORESIS,$333.00 
PROINSULIN,$91.00 
VITAMIN B6,$56.00 
PYRUVIC ACID,$214.00 
ACETYLCHOLINE REC BINDING AB,$366.00 
RENIN PLASMA,$432.00 
VITAMIN B2,$297.00 
SEROTONIN,$116.00 
SEX HORMONE BIND GLOBULIN,$404.00 
SODIUM,$85.00 
RANDOM UR SODIUM,$100.00 
SOMATOMEDIN C PLASMA,$417.00 
CHOLESTEROL,$67.00 
SRP UR SULFATE,$29.00 
"TESTOSTERONE, FREE",$194.00 
TESTOSTERONE TOTAL,$353.00 
"VITAMIN B1, WHOLE BLOOD",$230.00 
"THIAMINE,PLASMA",$141.00 
THYROGLOBULIN,$111.00 
T4,$125.00 
FREE T4,$162.00 
TSH WITH REFLEX TO FT4,$208.00 
"TSH, ULTRA SENS",$183.00 
TSH,$158.00 
THYROID STIM IMMUG,$992.00 
VITAMIN E,$193.00 
AST,$68.00 
ALT,$69.00 
TRANSFERRIN/IRON STUDY,$118.00 
TRIGLYCERIDES,$116.00 
"T3, TOTAL",$183.00 
T3 FREE,$222.00 
REVERSE T3,$236.00 
